,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1998-04-27,-13.49,-11.97,-11.75,-13.49,341630,1846204544.0,-12.04,17.16,2.48,47.45
1,1998-04-28,-11.94,-11.93,-11.78,-11.97,67658,371571840.0,-1.59,0.33,0.04,9.4
2,1998-04-29,-11.88,-11.99,-11.88,-12.01,33932,181927520.0,-1.09,-0.5,-0.06,4.71
3,1998-04-30,-11.99,-11.96,-11.93,-11.99,23856,127942176.0,-0.5,0.25,0.03,3.31
4,1998-05-04,-11.87,-11.62,-11.62,-11.88,49209,285312928.0,-2.17,2.84,0.34,6.83
5,1998-05-05,-11.37,-11.39,-11.25,-11.46,84095,532130560.0,-1.81,1.98,0.23,11.68
6,1998-05-06,-11.42,-11.19,-11.17,-11.44,44366,283147680.0,-2.37,1.76,0.2,6.16
7,1998-05-07,-11.11,-11.15,-10.93,-11.17,60016,405496128.0,-2.14,0.36,0.04,8.34
8,1998-05-08,-11.15,-11.11,-11.04,-11.17,35393,237166400.0,-1.17,0.36,0.04,4.92
9,1998-05-11,-11.14,-11.3,-11.1,-11.32,32802,212802480.0,-1.98,-1.71,-0.19,4.56
10,1998-05-12,-11.35,-11.34,-11.32,-11.42,19151,120685592.0,-0.88,-0.35,-0.04,2.66
11,1998-05-13,-11.35,-11.31,-11.19,-11.37,13930,89469272.0,-1.59,0.26,0.03,1.93
12,1998-05-14,-11.31,-11.36,-11.27,-11.38,11501,72694744.0,-0.97,-0.44,-0.05,1.6
13,1998-05-15,-11.34,-11.31,-11.23,-11.36,10440,66869012.0,-1.14,0.44,0.05,1.45
14,1998-05-18,-11.24,-11.36,-11.24,-11.4,7357,46577620.0,-1.41,-0.44,-0.05,1.02
15,1998-05-19,-11.4,-11.41,-11.3,-11.46,10973,68153736.0,-1.41,-0.44,-0.05,1.52
16,1998-05-20,-11.43,-11.5,-11.41,-11.5,9217,56580400.0,-0.79,-0.79,-0.09,1.28
17,1998-05-21,-11.54,-11.43,-11.35,-11.54,7721,47391000.0,-1.65,0.61,0.07,1.07
18,1998-05-22,-11.42,-11.4,-11.37,-11.46,8264,51396796.0,-0.79,0.26,0.03,1.15
19,1998-05-25,-11.4,-11.5,-11.4,-11.5,6873,42102712.0,-0.88,-0.88,-0.1,0.95
20,1998-05-26,-11.5,-11.51,-11.43,-11.53,6630,40315839.0,-0.87,-0.09,-0.01,0.92
21,1998-05-27,-11.49,-11.58,-11.49,-11.59,10560,63468756.0,-0.87,-0.61,-0.07,1.47
22,1998-05-28,-11.62,-11.56,-11.46,-11.62,12403,74459392.0,-1.38,0.17,0.02,1.72
23,1998-05-29,-11.56,-11.56,-11.5,-11.57,5368,32330498.0,-0.61,0.0,0.0,0.75
24,1998-06-01,-11.56,-11.62,-11.56,-11.69,12907,75831728.0,-1.12,-0.52,-0.06,1.79
25,1998-06-02,-11.63,-11.69,-11.63,-11.7,8585,49812716.0,-0.6,-0.6,-0.07,1.19
26,1998-06-03,-11.71,-11.81,-11.7,-11.82,12373,69987776.0,-1.03,-1.03,-0.12,1.72
27,1998-06-04,-11.85,-11.75,-11.68,-11.87,10243,58234328.0,-1.61,0.51,0.06,1.42
28,1998-06-05,-11.75,-11.69,-11.68,-11.76,7261,41744760.0,-0.68,0.51,0.06,1.01
29,1998-06-08,-11.71,-11.77,-11.69,-11.79,6240,35459056.0,-0.86,-0.68,-0.08,0.87
30,1998-06-09,-11.78,-11.84,-11.78,-11.87,6638,37016732.0,-0.76,-0.59,-0.07,0.92
31,1998-06-10,-11.85,-11.75,-11.69,-11.85,5058,28690456.0,-1.35,0.76,0.09,0.7
32,1998-06-11,-11.76,-11.84,-11.73,-11.85,3670,20678422.0,-1.02,-0.77,-0.09,0.51
33,1998-06-12,-11.71,-11.78,-11.71,-11.8,4355,24636090.0,-0.76,0.51,0.06,0.6
34,1998-06-15,-11.76,-11.82,-11.76,-11.85,3985,22245712.0,-0.76,-0.34,-0.04,0.55
35,1998-06-16,-11.85,-11.94,-11.85,-11.95,10129,54970044.0,-0.85,-1.02,-0.12,1.41
36,1998-06-17,-11.94,-11.94,-11.88,-11.97,3812,20584906.0,-0.75,0.0,0.0,0.53
37,1998-06-18,-11.94,-11.92,-11.9,-11.94,4788,25972428.0,-0.34,0.17,0.02,0.67
38,1998-06-19,-11.94,-11.87,-11.87,-11.94,5493,29882088.0,-0.59,0.42,0.05,0.76
39,1998-06-22,-11.85,-11.82,-11.75,-11.87,5002,28089040.0,-1.01,0.42,0.05,0.69
40,1998-06-23,-11.82,-11.8,-11.77,-11.87,3336,18666530.0,-0.85,0.17,0.02,0.46
41,1998-06-24,-11.75,-11.85,-11.74,-11.86,2210,12312831.0,-1.02,-0.42,-0.05,0.31
42,1998-06-25,-11.85,-11.91,-11.84,-11.92,3206,17511664.0,-0.68,-0.51,-0.06,0.45
43,1998-06-26,-11.93,-11.93,-11.9,-11.94,4139,22423680.0,-0.34,-0.17,-0.02,0.57
44,1998-06-29,-11.88,-11.98,-11.87,-11.99,5048,27030592.0,-1.01,-0.42,-0.05,0.7
45,1998-06-30,-11.97,-12.15,-11.97,-12.17,9071,47227032.0,-1.67,-1.42,-0.17,1.26
46,1998-07-01,-12.1,-12.22,-12.06,-12.25,15820,79375816.0,-1.56,-0.58,-0.07,2.2
47,1998-07-02,-12.21,-12.2,-12.2,-12.33,7892,38773048.0,-1.06,0.16,0.02,1.1
48,1998-07-03,-12.07,-12.17,-12.07,-12.22,4590,23126620.0,-1.23,0.25,0.03,0.64
49,1998-07-06,-12.18,-12.21,-12.18,-12.22,2322,11581883.0,-0.33,-0.33,-0.04,0.32
50,1998-07-07,-12.25,-12.2,-12.19,-12.26,2103,10393877.0,-0.57,0.08,0.01,0.29
51,1998-07-08,-12.17,-12.22,-12.17,-12.22,2135,10666208.0,-0.41,-0.16,-0.02,0.3
52,1998-07-09,-12.21,-12.24,-12.2,-12.26,2561,12643439.0,-0.49,-0.16,-0.02,0.36
53,1998-07-10,-12.24,-12.15,-12.12,-12.24,4396,22243944.0,-0.98,0.74,0.09,0.61
54,1998-07-13,-12.15,-12.2,-12.15,-12.21,4481,22401724.0,-0.49,-0.41,-0.05,0.62
55,1998-07-14,-12.2,-12.23,-12.2,-12.26,7687,38019924.0,-0.49,-0.25,-0.03,1.07
56,1998-07-15,-12.26,-12.21,-12.16,-12.26,2302,11438809.0,-0.82,0.16,0.02,0.32
57,1998-07-16,-12.21,-12.34,-12.2,-12.34,7616,36864684.0,-1.15,-1.06,-0.13,1.06
58,1998-07-17,-12.34,-12.41,-12.31,-12.43,5964,27987578.0,-0.97,-0.57,-0.07,0.83
59,1998-07-20,-12.45,-12.53,-12.45,-12.55,7536,33933100.0,-0.81,-0.97,-0.12,1.05
60,1998-07-21,-12.52,-12.42,-12.31,-12.54,5868,26939970.0,-1.84,0.88,0.11,0.82
61,1998-07-22,-12.43,-12.4,-12.37,-12.48,4460,20763524.0,-0.89,0.16,0.02,0.62
62,1998-07-23,-12.4,-12.45,-12.39,-12.46,3749,17296748.0,-0.56,-0.4,-0.05,0.52
63,1998-07-24,-12.45,-12.33,-12.3,-12.45,10253,48859844.0,-1.2,0.96,0.12,1.42
64,1998-07-27,-12.33,-12.36,-12.31,-12.38,3947,18772396.0,-0.57,-0.24,-0.03,0.55
