,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2014-07-03,5.59,7.21,7.21,5.59,3957,9623016.0,38.3,70.45,2.98,0.76
1,2014-07-04,8.19,8.19,8.19,8.19,2918,7827122.0,0.0,13.59,0.98,0.56
2,2014-07-07,9.26,9.26,9.26,9.26,10437,30790360.0,0.0,13.06,1.07,2.01
3,2014-07-08,10.44,9.87,10.44,9.39,316678,994377008.0,11.34,6.59,0.61,61.13
4,2014-07-09,9.26,8.91,9.62,8.66,192463,558930224.0,9.73,-9.73,-0.96,37.15
5,2014-07-10,8.68,9.6,9.86,8.66,197844,592010896.0,13.47,7.74,0.69,38.19
6,2014-07-11,9.33,8.98,9.84,8.94,133033,395235968.0,9.38,-6.46,-0.62,25.68
7,2014-07-14,8.69,8.64,8.86,8.4,100382,279701008.0,5.12,-3.79,-0.34,19.38
8,2014-07-15,8.58,8.66,8.94,8.5,93049,262050831.0,5.09,0.23,0.02,17.96
9,2014-07-16,8.46,8.73,8.92,8.46,87179,244985905.0,5.31,0.81,0.07,16.83
10,2014-07-17,8.65,8.14,8.66,8.02,83822,226387841.0,7.33,-6.76,-0.59,16.18
11,2014-07-18,8.18,8.41,8.77,8.14,88890,244286459.0,7.74,3.32,0.27,17.16
12,2014-07-21,8.26,8.13,8.32,8.1,43549,116540551.0,2.62,-3.33,-0.28,8.41
13,2014-07-22,8.05,8.1,8.21,8.02,35466,94423434.0,2.34,-0.37,-0.03,6.85
14,2014-07-23,8.16,7.79,8.16,7.7,51090,133166024.0,5.68,-3.83,-0.31,9.86
15,2014-07-24,7.7,7.82,8.05,7.7,50494,131751764.0,4.49,0.39,0.03,9.75
16,2014-07-25,7.77,7.79,7.97,7.6,43266,111593463.0,4.73,-0.38,-0.03,8.35
17,2014-07-28,7.94,7.98,8.03,7.86,42932,112804546.0,2.18,2.44,0.19,8.29
18,2014-07-29,8.0,7.99,8.08,7.89,37849,99701470.0,2.38,0.13,0.01,7.31
19,2014-07-30,8.06,8.16,8.21,7.95,46069,122078692.0,3.25,2.13,0.17,8.89
20,2014-07-31,8.13,8.1,8.18,8.03,31926,84782287.0,1.84,-0.74,-0.06,6.16
21,2014-08-01,8.06,7.78,8.08,7.77,47059,123269104.0,3.83,-3.95,-0.32,9.08
22,2014-08-04,7.71,7.83,7.85,7.71,26249,67802600.0,1.8,0.64,0.05,5.07
23,2014-08-05,7.82,7.88,7.91,7.73,25109,65131024.0,2.3,0.64,0.05,4.85
24,2014-08-06,7.85,7.84,7.86,7.74,23794,61451754.0,1.52,-0.51,-0.04,4.59
25,2014-08-07,7.82,7.78,7.89,7.76,22547,58362990.0,1.66,-0.77,-0.06,4.35
26,2014-08-08,7.76,7.82,7.85,7.74,18465,47793912.0,1.41,0.51,0.04,3.56
27,2014-08-11,7.84,7.89,7.9,7.8,24684,64163449.0,1.28,0.9,0.07,4.77
28,2014-08-12,7.92,7.96,7.97,7.84,31616,82563549.0,1.65,0.89,0.07,6.1
29,2014-08-13,7.91,8.21,8.25,7.89,79016,210560924.0,4.52,3.14,0.25,15.25
30,2014-08-14,8.15,8.53,8.86,8.12,105506,293233280.0,9.01,3.9,0.32,20.37
31,2014-08-15,8.48,8.44,8.58,8.32,46735,128082018.0,3.05,-1.06,-0.09,9.02
32,2014-08-18,8.48,8.4,8.48,8.34,37321,101848524.0,1.66,-0.47,-0.04,7.2
33,2014-08-19,8.4,8.38,8.49,8.3,36018,98250278.0,2.26,-0.24,-0.02,6.95
34,2014-08-20,8.39,8.62,8.78,8.3,69233,192494489.0,5.73,2.86,0.24,13.37
35,2014-08-21,8.61,8.34,8.61,8.26,40654,110989617.0,4.06,-3.25,-0.28,7.85
36,2014-08-22,8.32,8.36,8.43,8.27,22910,62340595.0,1.92,0.24,0.02,4.42
37,2014-08-25,8.38,8.25,8.38,8.2,29442,79620816.0,2.15,-1.32,-0.11,5.68
38,2014-08-26,8.25,7.87,8.25,7.85,34229,90373169.0,4.85,-4.61,-0.38,6.61
39,2014-08-27,7.85,7.89,7.97,7.84,15408,40247749.0,1.65,0.25,0.02,2.97
40,2014-08-28,7.9,7.72,7.97,7.68,20472,52968125.0,3.68,-2.15,-0.17,3.95
41,2014-08-29,7.72,7.9,7.93,7.7,18169,47100559.0,2.98,2.33,0.18,3.51
42,2014-09-01,7.89,8.03,8.05,7.85,19318,50650954.0,2.53,1.65,0.13,3.73
43,2014-09-02,8.08,8.32,8.37,8.06,43293,117034650.0,3.86,3.61,0.29,8.36
44,2014-09-03,8.32,8.28,8.41,8.22,32291,87496796.0,2.28,-0.48,-0.04,6.23
45,2014-09-04,8.31,8.33,8.37,8.27,28644,77737492.0,1.21,0.6,0.05,5.53
46,2014-09-05,8.36,8.3,8.44,8.24,28220,76521450.0,2.4,-0.36,-0.03,5.45
47,2014-09-09,8.33,8.18,8.33,8.12,28058,75088412.0,2.53,-1.45,-0.12,5.42
48,2014-09-10,8.14,8.3,8.32,8.14,28801,77830071.0,2.2,1.47,0.12,5.56
49,2014-09-11,8.31,8.2,8.38,8.18,30660,82968021.0,2.41,-1.2,-0.1,5.92
50,2014-09-12,8.17,8.24,8.25,8.15,18453,49540424.0,1.22,0.49,0.04,3.56
51,2014-09-15,8.25,8.12,8.25,8.1,36900,98519260.0,1.82,-1.46,-0.12,7.12
52,2014-09-16,8.12,7.82,8.14,7.8,39694,104108877.0,4.19,-3.69,-0.3,7.66
53,2014-09-17,7.79,7.82,7.85,7.71,21319,55015357.0,1.79,0.0,0.0,4.12
