,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1999-09-16,1.94,2.04,2.28,1.73,395046,556923000.0,-28.5,205.7,3.97,58.53
1,1999-09-17,2.0,1.96,2.18,1.91,105093,149125000.0,13.24,-3.92,-0.08,15.57
2,1999-09-20,1.94,1.77,1.94,1.74,37751,51901000.0,10.2,-9.69,-0.19,5.59
3,1999-09-21,1.68,1.82,1.89,1.64,17298,23733000.0,14.12,2.82,0.05,2.56
4,1999-09-22,1.83,1.69,1.87,1.67,15083,20506000.0,10.99,-7.14,-0.13,2.23
5,1999-09-23,1.69,1.56,1.73,1.55,21643,28884000.0,10.65,-7.69,-0.13,3.21
6,1999-09-24,1.64,1.82,1.9,1.64,22558,30986000.0,16.67,16.67,0.26,3.34
7,1999-09-27,1.89,1.89,2.06,1.79,30427,42526000.0,14.84,3.85,0.07,4.51
8,1999-09-28,1.94,1.87,1.96,1.81,9845,13628000.0,7.94,-1.06,-0.02,1.46
9,1999-09-29,1.94,1.94,2.01,1.85,12464,17405000.0,8.56,3.74,0.07,1.85
10,1999-09-30,1.95,1.75,1.98,1.73,15472,21377000.0,12.89,-9.79,-0.19,2.29
11,1999-10-08,1.69,1.69,1.79,1.64,6839,9250000.0,8.57,-3.43,-0.06,1.01
12,1999-10-11,1.64,1.74,1.86,1.64,5329,7264000.0,13.02,2.96,0.05,0.79
13,1999-10-12,1.74,1.83,1.88,1.69,5467,7522000.0,10.92,5.17,0.09,0.81
14,1999-10-13,1.84,1.7,1.88,1.64,7263,9836000.0,13.11,-7.1,-0.13,1.08
15,1999-10-14,1.68,1.79,2.01,1.6,8406,11570000.0,24.12,5.29,0.09,1.25
16,1999-10-15,1.84,1.88,1.98,1.79,12472,17372000.0,10.61,5.03,0.09,1.85
17,1999-10-18,1.88,1.69,1.91,1.68,10566,14410000.0,12.23,-10.11,-0.19,1.57
18,1999-10-19,1.68,1.82,1.94,1.68,18777,26036000.0,15.38,7.69,0.13,2.78
19,1999-10-20,1.84,2.01,2.09,1.81,29150,41206000.0,15.38,10.44,0.19,4.32
20,1999-10-21,1.99,2.05,2.11,1.89,25740,36457000.0,10.95,1.99,0.04,3.81
21,1999-10-22,2.05,2.18,2.54,2.01,54982,80422000.0,25.85,6.34,0.13,8.15
22,1999-10-25,2.2,2.16,2.28,2.09,25500,37032000.0,8.72,-0.92,-0.02,3.78
23,1999-10-26,2.14,2.18,2.34,2.1,16536,24030000.0,11.11,0.93,0.02,2.45
24,1999-10-27,2.34,2.23,2.36,2.16,33244,48466000.0,9.17,2.29,0.05,4.93
25,1999-10-28,2.27,2.09,2.27,2.04,20898,29955000.0,10.31,-6.28,-0.14,3.1
26,1999-10-29,2.06,2.07,2.14,1.95,15136,21474000.0,9.09,-0.96,-0.02,2.24
27,1999-11-01,2.07,1.97,2.12,1.95,9422,13274000.0,8.21,-4.83,-0.1,1.4
28,1999-11-02,1.98,1.99,2.04,1.92,8413,11833000.0,6.09,1.02,0.02,1.25
29,1999-11-03,2.0,1.89,2.01,1.86,9324,12997000.0,7.54,-5.03,-0.1,1.38
30,1999-11-04,1.91,1.86,1.91,1.81,7613,10499000.0,5.29,-1.59,-0.03,1.13
31,1999-11-05,1.89,1.86,1.99,1.84,5293,7355000.0,8.06,0.0,0.0,0.78
32,1999-11-08,1.84,1.9,1.95,1.84,4319,6003000.0,5.91,2.15,0.04,0.64
33,1999-11-09,1.93,1.89,2.01,1.89,5296,7420000.0,6.32,-0.53,-0.01,0.78
34,1999-11-10,1.9,1.81,1.93,1.73,7781,10638000.0,10.58,-4.23,-0.08,1.15
35,1999-11-11,1.79,1.7,1.87,1.69,4594,6265000.0,9.94,-6.08,-0.11,0.68
36,1999-11-12,1.71,1.73,1.83,1.68,4626,6291000.0,8.82,1.76,0.03,0.69
37,1999-11-15,1.76,1.74,1.83,1.69,4329,5899000.0,8.09,0.58,0.01,0.64
38,1999-11-16,1.79,1.67,1.84,1.65,6652,8998000.0,10.92,-4.02,-0.07,0.89
39,1999-11-17,1.66,1.75,1.75,1.59,8612,11563000.0,9.58,4.79,0.08,1.15
40,1999-11-18,1.78,1.81,1.88,1.66,12171,16659000.0,12.57,3.43,0.06,1.62
41,1999-11-19,1.84,1.83,1.88,1.74,4541,6238000.0,7.73,1.1,0.02,0.61
42,1999-11-22,1.84,1.71,1.84,1.68,5072,6876000.0,8.74,-6.56,-0.12,0.68
43,1999-11-23,1.7,1.81,1.83,1.69,5720,7808000.0,8.19,5.85,0.1,0.76
44,1999-11-24,1.79,1.72,1.79,1.69,2709,3675000.0,5.52,-4.97,-0.09,0.36
45,1999-11-25,1.71,1.64,1.71,1.63,4664,6258000.0,4.65,-4.65,-0.08,0.62
46,1999-11-26,1.64,1.66,1.73,1.61,3203,4306000.0,7.32,1.22,0.02,0.43
47,1999-11-29,1.79,1.69,1.79,1.69,2147,2912000.0,6.02,1.81,0.03,0.29
48,1999-11-30,1.65,1.72,1.75,1.65,2741,3712000.0,5.92,1.78,0.03,0.37
49,1999-12-01,1.71,1.8,1.87,1.69,6228,8559000.0,10.47,4.65,0.08,0.83
50,1999-12-02,1.76,1.78,1.84,1.76,2941,4024000.0,4.44,-1.11,-0.02,0.39
51,1999-12-03,1.78,1.82,1.83,1.69,3134,4290000.0,7.87,2.25,0.04,0.42
52,1999-12-06,1.82,1.86,1.94,1.81,6436,8932000.0,7.14,2.2,0.04,0.86
53,1999-12-07,1.87,1.84,1.89,1.79,2873,3968000.0,5.38,-1.08,-0.02,0.38
54,1999-12-08,1.84,1.7,1.84,1.69,3275,4466000.0,8.15,-7.61,-0.14,0.44
55,1999-12-09,1.69,1.7,1.74,1.67,1958,2654000.0,4.12,0.0,0.0,0.26
56,1999-12-10,1.69,1.78,1.79,1.68,4171,5650000.0,6.47,4.71,0.08,0.56
57,1999-12-13,1.78,1.66,1.78,1.64,3813,5143000.0,7.87,-6.74,-0.12,0.51
58,1999-12-14,1.66,1.64,1.72,1.6,5567,7459000.0,7.23,-1.2,-0.02,0.74
59,1999-12-15,1.64,1.81,1.85,1.64,9759,13365000.0,12.8,10.37,0.17,1.3
60,1999-12-16,1.81,1.71,1.81,1.68,4923,6689000.0,7.18,-5.52,-0.1,0.66
61,1999-12-17,1.69,1.64,1.74,1.61,5581,7497000.0,7.6,-4.09,-0.07,0.74
62,1999-12-21,1.63,1.36,1.63,1.05,9020,11628000.0,35.37,-17.07,-0.28,1.2
63,1999-12-22,1.29,1.16,1.36,1.16,6455,8104000.0,14.71,-14.71,-0.2,0.86
64,1999-12-23,1.16,1.1,1.16,1.06,5526,6811000.0,8.62,-5.17,-0.06,0.74
65,1999-12-24,1.09,0.98,1.36,0.97,5746,7003000.0,35.45,-10.91,-0.12,0.77
66,1999-12-27,0.98,0.99,1.14,0.94,3369,4099000.0,20.41,1.02,0.01,0.45
67,1999-12-28,1.04,1.08,1.16,1.04,2584,3169000.0,12.12,9.09,0.09,0.34
68,1999-12-29,1.1,0.93,1.14,0.84,8283,9912000.0,27.78,-13.89,-0.15,1.1
69,1999-12-30,0.94,1.0,1.04,0.94,2067,2503000.0,10.75,7.53,0.07,0.28
70,2000-01-04,1.18,1.17,1.19,0.99,7852,9703000.0,20.0,17.0,0.17,1.05
71,2000-01-05,1.16,1.12,1.24,1.04,9688,12086000.0,17.09,-4.27,-0.05,1.29
72,2000-01-06,1.08,1.36,1.37,1.02,15273,19131000.0,31.25,21.43,0.24,2.04
73,2000-01-07,1.39,1.51,1.63,1.39,28950,37931000.0,17.65,11.03,0.15,3.86
74,2000-01-10,1.59,1.55,1.63,1.39,28511,37346000.0,15.89,2.65,0.04,3.8
75,2000-01-11,1.54,1.22,1.55,1.19,14080,18106000.0,23.23,-21.29,-0.33,1.88
76,2000-01-12,1.24,1.06,1.33,1.02,12823,15825000.0,25.41,-13.11,-0.16,1.71
77,2000-01-13,1.09,1.04,1.14,0.94,6007,7334000.0,18.87,-1.89,-0.02,0.8
78,2000-01-14,1.04,1.13,1.14,0.89,11994,14539000.0,24.04,8.65,0.09,1.6
79,2000-01-17,1.12,1.18,1.18,1.03,4798,5921000.0,13.27,4.42,0.05,0.64
80,2000-01-18,1.22,1.07,1.24,1.04,6273,7713000.0,16.95,-9.32,-0.11,0.84
81,2000-01-19,1.05,1.19,1.24,1.05,5680,7056000.0,17.76,11.21,0.12,0.76
82,2000-01-20,1.18,1.37,1.41,1.15,17222,21901000.0,21.85,15.13,0.18,2.3
83,2000-01-21,1.36,1.26,1.44,1.21,10686,13583000.0,16.79,-8.03,-0.11,1.42
84,2000-01-24,1.03,1.11,1.14,0.84,31441,37726000.0,23.81,-11.9,-0.15,4.19
85,2000-01-25,1.11,1.11,1.11,0.94,16974,20611000.0,15.32,0.0,0.0,2.26
86,2000-01-26,1.1,1.29,1.32,0.99,19122,23819000.0,29.73,16.22,0.18,2.55
87,2000-01-27,1.24,1.16,1.26,1.11,11704,14624000.0,11.63,-10.08,-0.13,1.56
88,2000-01-28,1.18,1.1,1.18,1.03,15582,19113000.0,12.93,-5.17,-0.06,2.08
89,2000-02-14,1.24,1.71,1.71,1.24,32737,43462000.0,42.73,55.45,0.61,4.36
90,2000-02-15,1.79,2.24,2.39,1.72,96883,141564000.0,39.18,30.99,0.53,12.92
91,2000-02-16,2.41,2.04,2.41,1.79,38783,54913000.0,27.68,-8.93,-0.2,5.17
92,2000-02-17,2.09,1.44,2.28,1.39,45942,63670000.0,43.63,-29.41,-0.6,6.13
93,2000-02-18,1.39,1.69,1.69,1.34,15350,20075000.0,24.31,17.36,0.25,2.05
94,2000-02-21,1.69,1.6,1.74,1.39,20722,27349000.0,20.71,-5.33,-0.09,2.76
95,2000-02-22,1.64,1.52,1.64,1.39,12447,16270000.0,15.63,-5.0,-0.08,1.66
96,2000-02-23,1.44,1.52,1.52,1.24,16439,21155000.0,18.42,0.0,0.0,2.19
97,2000-02-24,1.67,1.63,1.67,1.41,14754,19505000.0,17.11,7.24,0.11,1.97
