,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-06-29,11.95,15.79,15.79,11.95,520,1193856.0,43.89,80.46,7.04,0.09
1,2015-06-30,18.09,18.09,18.09,18.09,418,1059212.0,0.0,14.57,2.3,0.07
2,2015-07-01,20.62,20.62,20.62,20.62,265,737162.0,0.0,13.99,2.53,0.04
3,2015-07-02,23.41,23.41,23.41,23.41,2363,7244897.0,0.0,13.53,2.79,0.39
4,2015-07-03,26.48,26.48,26.48,21.34,315842,1014166976.0,21.96,13.11,3.07,52.64
5,2015-07-06,29.85,23.17,29.85,23.11,287952,988748400.0,25.45,-12.5,-3.31,47.99
6,2015-07-07,20.13,20.13,20.75,20.13,60865,167012944.0,2.68,-13.12,-3.04,10.14
7,2015-07-08,17.39,17.39,17.39,17.39,6891,16979424.0,0.0,-13.61,-2.74,1.15
8,2015-07-09,14.93,19.85,19.85,14.93,225917,563209408.0,28.29,14.15,2.46,37.65
9,2015-07-10,22.56,22.56,22.56,20.95,78862,234001688.0,8.11,13.65,2.71,13.14
10,2015-07-13,25.54,25.54,25.54,24.09,86260,282497408.0,6.43,13.21,2.98,14.38
11,2015-07-14,27.75,28.82,28.82,26.56,159442,569523760.0,8.85,12.84,3.28,26.57
12,2015-07-15,29.93,25.21,31.44,25.21,183654,637377824.0,21.62,-12.53,-3.61,30.61
13,2015-07-16,21.96,24.49,27.25,21.96,184789,584694768.0,20.98,-2.86,-0.72,30.8
14,2015-07-17,24.15,26.72,27.47,23.95,164339,539936320.0,14.37,9.11,2.23,27.39
15,2015-07-20,26.15,25.21,27.07,24.55,147335,488867296.0,9.43,-5.65,-1.51,24.56
16,2015-07-21,24.18,25.57,26.69,23.45,127713,411581216.0,12.85,1.43,0.36,21.29
17,2015-07-22,25.25,25.02,26.35,24.25,100658,327755152.0,8.21,-2.15,-0.55,16.78
18,2015-07-23,24.86,28.25,28.25,24.55,129543,441658320.0,14.79,12.91,3.23,21.59
19,2015-07-24,29.75,30.32,31.66,28.93,226384,851571520.0,9.66,7.33,2.07,37.73
20,2015-07-27,29.74,28.92,33.93,28.75,224236,880479536.0,17.08,-4.62,-1.4,37.37
21,2015-07-28,26.65,32.54,32.54,26.32,243726,916246640.0,21.51,12.52,3.62,40.62
22,2015-07-29,34.15,36.52,36.52,32.61,219044,916273184.0,12.02,12.23,3.98,36.51
