,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1996-09-27,-0.44,0.66,1.06,-0.8,129132,274708864.0,-28.18,110.0,7.26,71.74
1,1996-10-03,0.61,0.1,0.62,0.08,32916,72923472.0,81.82,-84.85,-0.56,18.29
2,1996-10-04,-0.09,-0.11,0.3,-0.34,16266,34960260.0,640.0,-210.0,-0.21,9.04
3,1996-10-07,-0.12,0.0,0.0,-0.38,17806,38097448.0,-345.45,100.0,0.11,9.89
4,1996-10-08,-0.06,0.01,0.08,-0.19,9902,21300376.0,-9166.44,0.0,0.01,5.5
5,1996-10-09,-0.04,-0.29,0.12,-0.33,14197,30490830.0,4500.0,-3000.0,-0.3,7.89
6,1996-10-10,-0.34,-0.28,-0.2,-0.37,7715,16298167.0,-58.62,3.45,0.01,4.29
7,1996-10-11,-0.22,0.51,0.7,-0.22,33011,74979336.0,-328.57,282.14,0.79,18.34
8,1996-10-14,0.56,0.38,0.91,0.31,14564,33425902.0,117.65,-25.49,-0.13,8.09
9,1996-10-15,0.4,0.26,0.41,0.13,8907,19834368.0,73.68,-31.58,-0.12,4.95
10,1996-10-16,0.32,0.15,0.41,0.06,9394,20771120.0,134.62,-42.31,-0.11,5.22
11,1996-10-17,0.13,0.66,1.06,0.1,16227,36703828.0,640.0,340.0,0.51,9.02
12,1996-10-18,0.73,-0.09,0.91,-0.19,12064,26719184.0,166.67,-113.64,-0.75,6.7
13,1996-10-21,0.01,0.03,0.38,0.01,9272,20373176.0,-411.11,133.33,0.12,5.15
14,1996-10-22,-0.1,0.51,0.59,-0.84,28332,62093180.0,4766.67,1600.0,0.48,15.74
15,1996-10-23,0.66,2.21,2.31,0.56,53671,132511504.0,343.14,333.33,1.7,29.82
16,1996-10-24,2.67,2.31,2.91,1.91,33836,89565568.0,45.25,4.52,0.1,18.8
17,1996-10-25,2.31,1.51,2.41,1.3,41039,102959808.0,48.05,-34.63,-0.8,22.8
18,1996-10-28,1.16,1.78,1.91,1.16,26716,65012492.0,49.67,17.88,0.27,14.84
19,1996-10-29,1.81,1.55,1.81,1.41,29446,73529064.0,22.47,-12.92,-0.23,16.36
20,1996-10-30,1.16,1.12,1.66,1.08,13963,33754792.0,37.42,-27.74,-0.43,7.76
21,1996-10-31,1.16,1.16,1.45,1.03,22226,53371280.0,37.5,3.57,0.04,12.35
22,1996-11-01,1.11,0.7,1.25,0.62,22352,52496444.0,54.31,-39.66,-0.46,12.42
23,1996-11-04,0.68,1.23,1.91,0.68,19006,46474728.0,175.71,75.71,0.53,10.56
24,1996-11-06,0.67,0.65,1.06,0.46,6663,15340154.0,48.78,-47.15,-0.58,3.7
25,1996-11-07,0.76,0.51,0.91,0.41,3816,8687945.0,76.92,-21.54,-0.14,2.12
26,1996-11-08,0.66,0.58,0.9,0.46,5892,13515718.0,86.27,13.73,0.07,3.27
27,1996-11-11,0.86,0.86,0.96,0.66,6510,15138041.0,51.72,48.28,0.28,3.62
28,1996-11-12,1.04,0.86,1.15,0.71,5211,12173796.0,51.16,0.0,0.0,2.9
29,1996-11-13,0.86,0.81,0.91,0.6,10161,23455034.0,36.05,-5.81,-0.05,5.65
30,1996-11-14,0.91,1.12,1.41,0.91,13009,31197096.0,61.73,38.27,0.31,7.23
31,1996-11-15,1.07,1.26,1.41,0.66,16132,38676544.0,66.96,12.5,0.14,8.96
32,1996-11-18,1.51,1.18,1.76,1.09,11900,28780390.0,53.17,-6.35,-0.08,6.61
33,1996-11-19,1.23,1.35,1.35,0.96,14680,35220212.0,33.05,14.41,0.17,8.16
34,1996-11-20,1.3,1.73,1.93,1.11,21458,53694916.0,60.74,28.15,0.38,11.92
35,1996-11-21,1.73,0.86,1.75,0.85,18276,44770452.0,52.02,-50.29,-0.87,10.15
36,1996-11-22,0.66,0.96,0.96,0.56,9171,21171956.0,46.51,11.63,0.1,5.1
37,1996-11-25,0.94,1.16,1.38,0.81,10052,24132680.0,59.38,20.83,0.2,5.58
38,1996-11-26,1.25,0.93,1.25,0.81,8574,20257092.0,37.93,-19.83,-0.23,4.76
39,1996-11-27,0.96,0.94,1.31,0.88,8477,20261522.0,46.24,1.08,0.01,4.71
40,1996-11-28,0.91,0.86,0.96,0.76,5545,12945337.0,21.28,-8.51,-0.08,3.08
41,1996-11-29,0.87,0.91,1.11,0.73,3965,9299382.0,44.19,5.81,0.05,2.2
42,1996-12-02,1.04,0.82,1.13,0.76,4825,11370315.0,40.66,-9.89,-0.09,2.68
43,1996-12-03,0.91,0.91,0.91,0.76,4069,9511819.0,18.29,10.98,0.09,2.26
44,1996-12-04,1.05,1.23,1.5,0.91,11066,26776364.0,64.84,35.16,0.32,6.15
45,1996-12-05,1.16,1.28,1.36,1.11,8468,20487174.0,20.33,4.07,0.05,4.7
46,1996-12-06,1.29,2.03,2.06,1.15,16495,40500296.0,71.09,58.59,0.75,9.16
47,1996-12-09,2.31,2.18,2.48,1.81,20131,52351492.0,33.0,7.39,0.15,11.18
48,1996-12-10,2.16,2.58,2.91,1.81,22960,60286360.0,50.46,18.35,0.4,12.76
49,1996-12-11,2.66,3.36,3.53,2.61,27538,76952640.0,35.66,30.23,0.78,15.3
50,1996-12-12,3.46,2.58,3.58,2.41,15293,42042676.0,34.82,-23.21,-0.78,8.5
51,1996-12-13,2.56,1.91,2.57,1.91,12983,34042960.0,25.58,-25.97,-0.67,7.21
52,1996-12-16,0.66,0.66,0.66,0.66,1119,2573700.0,0.0,-65.45,-1.25,0.62
53,1996-12-17,-0.49,-0.49,0.4,-0.49,13703,28532004.0,134.85,-174.24,-1.15,7.61
54,1996-12-18,-0.97,0.54,0.54,-0.97,14624,31711612.0,-308.16,210.2,1.03,8.12
55,1996-12-19,0.51,-0.47,1.04,-0.6,20373,44829440.0,303.7,-187.04,-1.01,11.32
56,1996-12-20,-0.46,-0.37,-0.19,-1.09,12488,25704154.0,-191.49,21.28,0.1,6.94
57,1996-12-23,-0.04,0.23,0.51,-0.3,15268,33547630.0,-218.92,162.16,0.6,8.48
58,1996-12-24,0.22,-0.17,0.61,-0.19,12211,27023690.0,347.83,-173.91,-0.4,6.78
59,1996-12-25,0.06,0.46,0.61,-0.09,10360,23109278.0,-411.76,370.59,0.63,5.76
60,1996-12-26,0.66,0.51,0.74,0.46,3730,8514973.0,60.87,10.87,0.05,2.07
61,1996-12-27,0.55,0.76,0.81,0.41,11243,25819498.0,78.43,49.02,0.25,6.25
62,1996-12-30,0.91,1.66,1.92,0.76,16489,40435676.0,152.63,118.42,0.9,9.16
63,1996-12-31,1.69,1.66,2.14,1.26,21723,55033216.0,53.01,0.0,0.0,12.07
64,1997-01-02,1.76,2.21,2.91,1.76,33812,89027992.0,69.28,33.13,0.55,18.78
65,1997-01-03,2.35,1.66,2.35,1.51,18204,46164544.0,38.01,-24.89,-0.55,10.11
66,1997-01-06,1.56,1.01,1.6,0.92,8558,20909916.0,40.96,-39.16,-0.65,4.75
67,1997-01-07,0.88,1.46,1.59,0.76,10087,24428324.0,82.18,44.55,0.45,5.6
68,1997-01-08,1.47,1.51,1.81,1.16,8604,21313480.0,44.52,3.42,0.05,4.78
69,1997-01-09,1.53,1.65,1.76,1.51,6884,17176728.0,16.56,9.27,0.14,3.82
70,1997-01-10,1.76,1.66,1.81,1.5,4103,10227538.0,18.79,0.61,0.01,2.28
71,1997-01-13,1.96,1.75,2.01,1.66,8686,21930370.0,21.08,5.42,0.09,4.83
72,1997-01-14,1.75,1.38,1.8,1.31,3778,9313170.0,28.0,-21.14,-0.37,2.1
73,1997-01-15,1.31,1.43,1.53,1.31,3148,7721406.5,15.94,3.62,0.05,1.75
74,1997-01-16,1.31,1.5,1.63,1.31,3527,8693240.0,22.38,4.9,0.07,1.96
75,1997-01-17,1.6,1.61,1.71,1.51,4804,11963450.0,13.33,7.33,0.11,2.67
76,1997-01-20,1.75,1.58,1.8,1.51,4175,10384225.0,18.01,-1.86,-0.03,2.32
77,1997-01-21,1.55,1.41,1.56,1.36,4748,11657724.0,12.66,-10.76,-0.17,2.64
78,1997-01-22,1.48,1.55,1.81,1.41,10552,26331698.0,28.37,9.93,0.14,5.86
79,1997-01-23,1.66,1.71,1.86,1.38,14926,37176004.0,30.97,10.32,0.16,8.29
80,1997-01-24,1.71,1.55,1.78,1.41,5654,13989987.0,21.64,-9.36,-0.16,3.14
81,1997-01-27,1.71,1.66,1.87,1.53,8179,20525976.0,21.94,7.1,0.11,4.54
82,1997-01-28,1.71,1.55,1.76,1.51,4897,12168030.0,15.06,-6.63,-0.11,2.72
83,1997-01-29,1.66,1.51,1.66,1.46,4319,10713545.0,12.9,-2.58,-0.04,2.4
84,1997-01-30,1.65,1.48,1.65,1.41,4577,11269559.0,15.89,-1.99,-0.03,2.54
85,1997-01-31,1.46,1.63,1.71,1.43,5824,14542829.0,18.92,10.14,0.15,3.24
