,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2011-12-22,18.38,18.68,19.23,17.57,435086,871177824.0,11.54,29.9,4.3,90.64
1,2011-12-23,18.56,18.66,20.53,18.04,303876,630236528.0,13.33,-0.11,-0.02,63.31
2,2011-12-26,18.18,17.89,19.07,17.66,172451,343459536.0,7.56,-4.13,-0.77,35.93
3,2011-12-27,17.69,15.94,17.8,15.94,163943,298691536.0,10.4,-10.9,-1.95,34.15
4,2011-12-28,15.19,15.53,15.93,14.9,103338,175783954.0,6.46,-2.57,-0.41,21.53
5,2011-12-29,15.51,16.28,16.86,15.51,132299,236406769.0,8.69,4.83,0.75,27.56
6,2011-12-30,16.13,16.16,16.58,15.99,83742,149439639.0,3.62,-0.74,-0.12,17.45
7,2012-01-04,16.27,14.59,16.57,14.59,118323,202572880.0,12.25,-9.72,-1.57,24.65
8,2012-01-05,14.07,12.97,14.25,12.97,139385,210502294.0,8.77,-11.1,-1.62,29.04
9,2012-01-06,13.09,13.54,13.58,12.69,109758,163568217.0,6.86,4.39,0.57,22.87
10,2012-01-09,13.29,14.02,14.15,12.88,125352,189704888.0,9.38,3.55,0.48,26.11
11,2012-01-10,13.8,14.83,15.23,13.73,137175,219830491.0,10.7,5.78,0.81,28.58
12,2012-01-11,14.45,14.38,14.68,14.11,105173,168860191.0,3.84,-3.03,-0.45,21.91
13,2012-01-12,14.38,13.83,14.59,13.78,86135,135622518.0,5.63,-3.82,-0.55,17.94
14,2012-01-13,13.83,15.02,15.31,13.76,184589,299920064.0,11.21,8.6,1.19,38.46
15,2012-01-16,14.51,13.53,14.7,13.48,105787,167054628.0,8.12,-9.92,-1.49,22.04
16,2012-01-17,13.77,14.48,14.54,12.98,94832,146275081.0,11.53,7.02,0.95,19.76
17,2012-01-18,14.3,14.82,15.94,14.3,138103,230224567.0,11.33,2.35,0.34,28.77
18,2012-01-19,14.52,15.11,15.43,14.41,88600,146834193.0,6.88,1.96,0.29,18.46
19,2012-01-20,15.16,14.88,15.56,14.76,72737,121616808.0,5.29,-1.52,-0.23,15.15
20,2012-01-30,14.83,14.5,14.94,14.28,56842,92109357.0,4.44,-2.55,-0.38,11.84
21,2012-01-31,14.51,14.94,15.15,14.48,65557,108179377.0,4.62,3.03,0.44,13.66
22,2012-02-01,14.96,14.71,15.25,14.58,60034,99095230.0,4.48,-1.54,-0.23,12.51
23,2012-02-02,14.78,14.84,14.86,14.29,62252,100847881.0,3.87,0.88,0.13,12.97
24,2012-02-03,14.7,14.92,15.02,14.43,72570,118748983.0,3.98,0.54,0.08,15.12
25,2012-02-06,14.86,15.15,15.2,14.7,78885,130874267.0,3.35,1.54,0.23,16.43
26,2012-02-07,15.01,14.5,15.04,14.33,57022,93097284.0,4.69,-4.29,-0.65,11.88
27,2012-02-08,14.43,15.1,15.1,14.33,61375,100492122.0,5.31,4.14,0.6,12.79
28,2012-02-09,14.98,15.09,15.59,14.92,89748,151550167.0,4.44,-0.07,-0.01,18.7
29,2012-02-10,15.03,15.46,15.47,14.96,67766,114235691.0,3.38,2.45,0.37,14.12
30,2012-02-13,15.36,15.57,15.86,15.28,73789,127140121.0,3.75,0.71,0.11,15.37
31,2012-02-14,15.45,15.33,15.66,15.15,51177,86771444.0,3.28,-1.54,-0.24,10.66
32,2012-02-15,15.27,15.6,15.73,15.18,55757,95525153.0,3.59,1.76,0.27,11.62
33,2012-02-16,15.54,15.36,15.68,15.17,49779,84645225.0,3.27,-1.54,-0.24,10.37
34,2012-02-17,15.38,15.46,15.55,15.15,42908,73067288.0,2.6,0.65,0.1,8.94
35,2012-02-20,15.66,15.29,15.74,15.28,42266,72280093.0,2.98,-1.1,-0.17,8.81
36,2012-02-21,15.28,16.25,16.32,15.18,89446,155652848.0,7.46,6.28,0.96,18.63
37,2012-02-22,16.29,16.7,17.04,16.19,116240,212691101.0,5.23,2.77,0.45,24.22
38,2012-02-23,16.53,16.76,17.33,16.53,76438,141847286.0,4.79,0.36,0.06,15.92
39,2012-02-24,16.69,16.86,16.97,16.46,58400,106987291.0,3.04,0.6,0.1,12.17
40,2012-02-27,16.9,16.98,17.2,16.58,77921,144034064.0,3.68,0.71,0.12,16.23
41,2012-02-28,16.8,18.84,18.84,16.61,174428,345742064.0,13.13,10.95,1.86,36.34
42,2012-02-29,18.66,18.61,18.97,18.28,114956,233045024.0,3.66,-1.22,-0.23,23.95
43,2012-03-01,18.69,19.59,20.58,18.61,139711,298796160.0,10.59,5.27,0.98,29.11
44,2012-03-02,19.56,19.85,20.74,19.23,120548,259189580.0,7.71,1.33,0.26,25.11
45,2012-03-05,19.68,22.0,22.0,19.58,140129,315900528.0,12.19,10.83,2.15,29.19
46,2012-03-06,22.18,22.55,23.08,21.6,151243,363445936.0,6.73,2.5,0.55,31.51
47,2012-03-07,22.13,21.73,22.38,21.28,116834,273804080.0,4.88,-3.64,-0.82,24.34
48,2012-03-08,21.9,22.33,22.56,21.76,94242,224160990.0,3.68,2.76,0.6,19.63
49,2012-03-09,22.48,24.08,24.6,22.23,124902,310113904.0,10.61,7.84,1.75,26.02
50,2012-03-12,23.86,24.13,24.21,23.4,76022,193108221.0,3.36,0.21,0.05,15.84
51,2012-03-13,23.86,25.23,26.52,23.58,106658,286397760.0,12.18,4.56,1.1,22.22
52,2012-03-14,24.98,24.37,26.37,23.28,118559,315441616.0,12.25,-3.41,-0.86,24.7
53,2012-03-15,24.14,24.35,25.03,23.18,90736,233416149.0,7.59,-0.08,-0.02,18.9
54,2012-03-16,23.98,25.48,26.17,23.98,113847,303691248.0,8.99,4.64,1.13,23.72
55,2012-03-19,25.15,24.11,25.18,23.86,97043,251687661.0,5.18,-5.38,-1.37,20.22
56,2012-03-20,23.9,23.25,24.16,23.08,80349,201619841.0,4.48,-3.57,-0.86,16.74
57,2012-03-21,23.46,22.58,23.66,21.98,80710,196808716.0,7.23,-2.88,-0.67,16.81
58,2012-03-22,22.69,24.03,24.49,22.49,196191,493179744.0,8.86,6.42,1.45,32.7
59,2012-03-23,23.49,23.76,23.76,22.27,108570,267919140.0,6.2,-1.12,-0.27,18.09
60,2012-03-26,23.39,24.03,24.43,23.23,79435,203018748.0,5.05,1.14,0.27,13.24
61,2012-03-27,23.78,23.42,24.17,23.05,77465,195233250.0,4.66,-2.54,-0.61,12.91
62,2012-03-28,22.83,20.92,23.16,20.92,104532,244801677.0,9.56,-10.67,-2.5,17.42
63,2012-03-29,20.33,20.13,21.03,19.9,102349,224484782.0,5.4,-3.78,-0.79,17.06
64,2012-03-30,20.16,19.64,20.42,18.96,77635,164020475.0,7.25,-2.43,-0.49,12.94
65,2012-04-05,19.51,21.28,21.64,19.28,132360,290848832.0,12.02,8.35,1.64,22.06
66,2012-04-06,21.13,21.5,22.2,20.98,106959,248060187.0,5.73,1.03,0.22,17.83
67,2012-04-09,21.33,20.76,21.73,20.76,49033,111821672.0,4.51,-3.44,-0.74,8.17
68,2012-04-10,20.55,20.53,20.7,19.27,76369,164666613.0,6.89,-1.11,-0.23,12.73
69,2012-04-11,20.03,20.2,20.52,19.83,48869,106428516.0,3.36,-1.61,-0.33,8.14
70,2012-04-12,20.2,20.86,21.0,19.88,67128,148604077.0,5.54,3.27,0.66,11.19
71,2012-04-13,20.86,20.89,21.31,20.75,61705,139894479.0,2.68,0.14,0.03,10.28
72,2012-04-16,20.68,21.21,21.63,20.48,55880,127660437.0,5.51,1.53,0.32,9.31
73,2012-04-17,21.28,20.48,21.34,20.4,45850,102428224.0,4.43,-3.44,-0.73,7.64
74,2012-04-18,20.63,21.0,21.26,20.33,45629,102567080.0,4.54,2.54,0.52,7.6
75,2012-04-19,20.96,21.18,21.54,20.86,49445,112827888.0,3.24,0.86,0.18,8.24
76,2012-04-20,21.18,22.89,23.18,21.1,114758,276741376.0,9.82,8.07,1.71,19.13
77,2012-04-23,22.63,22.81,23.76,22.26,94255,233388502.0,6.55,-0.35,-0.08,15.71
78,2012-04-24,22.74,22.97,23.45,21.39,78640,189674092.0,9.03,0.7,0.16,13.11
79,2012-04-25,22.56,22.48,22.93,21.92,68493,164320788.0,4.4,-2.13,-0.49,11.42
80,2012-04-26,22.38,24.27,24.86,21.93,119900,300122128.0,13.03,7.96,1.79,19.98
81,2012-04-27,23.98,26.86,26.86,23.88,160907,443945712.0,12.28,10.67,2.59,26.82
82,2012-05-02,27.99,27.58,29.37,26.86,217804,644418464.0,9.34,2.68,0.72,36.3
83,2012-05-03,27.22,28.64,29.89,27.0,174931,531289888.0,10.48,3.84,1.06,29.16
84,2012-05-04,27.91,28.52,28.58,27.58,117193,347198976.0,3.49,-0.42,-0.12,19.53
85,2012-05-07,28.0,27.82,28.96,27.37,111939,331803424.0,5.58,-2.45,-0.7,18.66
