,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1994-01-06,-4.13,-4.2,-4.05,-4.23,184440,130079000.0,-3.56,17.0,0.86,40.99
1,1994-01-07,-4.17,-4.12,-4.07,-4.19,176215,127789000.0,-2.86,1.9,0.08,39.16
2,1994-01-10,-4.06,-4.08,-4.02,-4.1,96502,72336000.0,-1.94,0.97,0.04,21.44
3,1994-01-11,-4.07,-4.15,-4.07,-4.16,37845,27356000.0,-2.21,-1.72,-0.07,8.41
4,1994-01-12,-4.16,-4.16,-4.11,-4.17,29424,21057000.0,-1.45,-0.24,-0.01,6.54
5,1994-01-13,-4.15,-4.13,-4.09,-4.15,56095,40889000.0,-1.44,0.72,0.03,12.47
6,1994-01-14,-4.11,-4.26,-4.1,-4.3,57652,39698000.0,-4.84,-3.15,-0.13,12.81
7,1994-01-17,-4.22,-4.26,-4.21,-4.28,20210,13634000.0,-1.64,0.0,0.0,4.49
8,1994-01-18,-4.28,-4.35,-4.26,-4.38,19483,12420000.0,-2.82,-2.11,-0.09,4.33
9,1994-01-19,-4.36,-4.42,-4.36,-4.46,19244,11698000.0,-2.3,-1.61,-0.07,4.28
10,1994-01-20,-4.44,-4.42,-4.41,-4.48,21387,12809000.0,-1.58,0.0,0.0,4.75
11,1994-01-21,-4.43,-4.38,-4.36,-4.44,20989,12951000.0,-1.81,0.9,0.04,4.66
12,1994-01-24,-4.33,-4.34,-4.33,-4.38,17261,10904000.0,-1.14,0.91,0.04,3.84
13,1994-01-25,-4.35,-4.39,-4.32,-4.4,14400,9041000.0,-1.84,-1.15,-0.05,3.2
14,1994-01-26,-4.41,-4.39,-4.35,-4.43,8125,4984000.0,-1.82,0.0,0.0,1.81
15,1994-01-27,-4.4,-4.41,-4.38,-4.42,3540,2166000.0,-0.91,-0.46,-0.02,0.79
16,1994-01-28,-4.41,-4.45,-4.4,-4.46,10085,6040000.0,-1.36,-0.91,-0.04,2.24
17,1994-01-31,-4.48,-4.51,-4.46,-4.54,7648,4350000.0,-1.8,-1.35,-0.06,1.7
18,1994-02-01,-4.51,-4.5,-4.47,-4.52,13130,7572000.0,-1.11,0.22,0.01,2.92
19,1994-02-02,-4.48,-4.38,-4.38,-4.48,32148,19544000.0,-2.22,2.67,0.12,7.14
20,1994-02-03,-4.38,-4.36,-4.32,-4.41,46521,29287000.0,-2.05,0.46,0.02,10.34
21,1994-02-04,-4.35,-4.36,-4.33,-4.37,17197,10886000.0,-0.92,0.0,0.0,3.82
22,1994-02-14,-4.28,-4.35,-4.25,-4.37,25090,16105000.0,-2.75,0.23,0.01,5.58
23,1994-02-15,-4.37,-4.28,-4.28,-4.37,55747,36256000.0,-2.07,1.61,0.07,12.39
24,1994-02-16,-4.25,-4.3,-4.24,-4.3,91402,61018000.0,-1.4,-0.47,-0.02,20.31
25,1994-02-17,-4.31,-4.33,-4.29,-4.36,25443,16257000.0,-1.63,-0.7,-0.03,5.65
26,1994-02-18,-4.33,-4.33,-4.33,-4.37,13146,8311000.0,-0.92,0.0,0.0,2.92
27,1994-02-21,-4.35,-4.37,-4.35,-4.39,10573,6608000.0,-0.92,-0.92,-0.04,2.35
28,1994-02-22,-4.39,-4.35,-4.31,-4.39,21758,13921000.0,-1.83,0.46,0.02,4.84
29,1994-02-23,-4.35,-4.37,-4.33,-4.38,7129,4484000.0,-1.15,-0.46,-0.02,1.58
30,1994-02-24,-4.38,-4.36,-4.35,-4.39,9918,6162000.0,-0.92,0.23,0.01,2.2
31,1994-02-25,-4.32,-4.33,-4.32,-4.38,24204,15361000.0,-1.38,0.69,0.03,5.38
32,1994-02-28,-4.38,-4.38,-4.29,-4.39,66398,42171000.0,-2.31,-1.15,-0.05,14.76
33,1994-03-01,-4.35,-4.41,-4.35,-4.43,17931,11003000.0,-1.83,-0.68,-0.03,3.98
34,1994-03-02,-4.41,-4.43,-4.4,-4.45,18734,11311000.0,-1.13,-0.45,-0.02,4.16
35,1994-03-03,-4.45,-4.48,-4.42,-4.5,9285,5464000.0,-1.81,-1.13,-0.05,2.06
36,1994-03-04,-4.48,-4.48,-4.46,-4.51,7909,4563000.0,-1.12,0.0,0.0,1.76
37,1994-03-07,-4.49,-4.51,-4.49,-4.51,678,390000.0,-0.45,-0.67,-0.03,0.15
38,1994-03-08,-4.5,-4.54,-4.47,-4.56,11187,6316000.0,-2.0,-0.67,-0.03,2.49
39,1994-03-09,-4.53,-4.61,-4.51,-4.62,9664,5365000.0,-2.42,-1.54,-0.07,2.15
40,1994-03-10,-4.58,-4.65,-4.52,-4.66,11309,6039000.0,-3.04,-0.87,-0.04,2.51
41,1994-03-11,-4.65,-4.58,-4.54,-4.68,46234,25125000.0,-3.01,1.51,0.07,10.27
42,1994-03-14,-4.43,-4.21,-4.18,-4.43,198094,128380000.0,-5.46,8.08,0.37,44.02
43,1994-03-15,-4.12,-4.33,-4.09,-4.37,168077,117979000.0,-6.65,-2.85,-0.12,37.35
44,1994-03-16,-4.38,-4.26,-4.25,-4.38,116052,76509000.0,-3.0,1.62,0.07,25.79
45,1994-03-17,-4.24,-4.36,-4.24,-4.37,26828,17388000.0,-3.05,-2.35,-0.1,5.96
46,1994-03-18,-4.42,-4.39,-4.35,-4.43,20913,12821000.0,-1.83,-0.69,-0.03,4.65
47,1994-03-21,-4.43,-4.46,-4.39,-4.46,16770,10096000.0,-1.59,-1.59,-0.07,3.73
48,1994-03-22,-4.48,-4.45,-4.43,-4.5,9533,5563000.0,-1.57,0.22,0.01,2.12
49,1994-03-23,-4.44,-4.5,-4.44,-4.51,6972,4062000.0,-1.57,-1.12,-0.05,1.55
50,1994-03-24,-4.51,-4.52,-4.44,-4.53,10255,5878000.0,-2.0,-0.44,-0.02,2.28
51,1994-03-25,-4.46,-4.5,-4.46,-4.54,11176,6311000.0,-1.77,0.44,0.02,2.48
52,1994-03-28,-4.52,-4.53,-4.5,-4.56,12498,6993000.0,-1.33,-0.67,-0.03,2.78
53,1994-03-29,-4.52,-4.49,-4.47,-4.53,14062,8106000.0,-1.32,0.88,0.04,3.12
54,1994-03-30,-4.48,-4.52,-4.47,-4.53,13281,7606000.0,-1.34,-0.67,-0.03,2.95
55,1994-03-31,-4.51,-4.53,-4.5,-4.54,8411,4764000.0,-0.88,-0.22,-0.01,1.87
56,1994-04-01,-4.52,-4.53,-4.51,-4.55,9056,5074000.0,-0.88,0.0,0.0,2.01
57,1994-04-04,-4.52,-4.53,-4.5,-4.53,8538,4836000.0,-0.66,0.0,0.0,1.9
58,1994-04-05,-4.53,-4.49,-4.47,-4.53,10070,5766000.0,-1.32,0.88,0.04,2.24
59,1994-04-06,-4.49,-4.51,-4.49,-4.53,6140,3486000.0,-0.89,-0.45,-0.02,1.36
60,1994-04-07,-4.5,-4.49,-4.45,-4.51,30992,18087000.0,-1.33,0.44,0.02,6.89
61,1994-04-08,-4.48,-4.5,-4.47,-4.52,7605,4364000.0,-1.11,-0.22,-0.01,1.69
62,1994-04-11,-4.51,-4.53,-4.51,-4.54,6282,3522000.0,-0.67,-0.67,-0.03,1.4
63,1994-04-12,-4.55,-4.51,-4.51,-4.55,4444,2492000.0,-0.88,0.44,0.02,0.99
64,1994-04-13,-4.5,-4.53,-4.5,-4.55,5420,3031000.0,-1.11,-0.44,-0.02,1.2
65,1994-04-14,-4.55,-4.61,-4.55,-4.64,25657,13504000.0,-1.99,-1.77,-0.08,5.7
66,1994-04-15,-4.63,-4.62,-4.61,-4.71,22183,11303000.0,-2.17,-0.22,-0.01,4.93
67,1994-04-18,-4.64,-4.67,-4.64,-4.7,10157,5127000.0,-1.3,-1.08,-0.05,2.26
68,1994-04-19,-4.68,-4.73,-4.66,-4.73,9369,4630000.0,-1.5,-1.28,-0.06,2.08
69,1994-04-20,-4.75,-4.83,-4.73,-4.84,12138,5585000.0,-2.33,-2.11,-0.1,2.7
70,1994-04-21,-4.83,-4.68,-4.67,-4.84,16446,7733000.0,-3.52,3.11,0.15,3.65
71,1994-04-22,-4.69,-4.68,-4.62,-4.78,50327,25546000.0,-3.42,0.0,0.0,11.18
72,1994-04-25,-4.64,-4.66,-4.61,-4.69,32079,16549000.0,-1.71,0.43,0.02,7.13
73,1994-04-26,-4.71,-4.68,-4.66,-4.77,23853,11587000.0,-2.36,-0.43,-0.02,5.3
74,1994-04-27,-4.66,-4.68,-4.64,-4.7,28946,14605000.0,-1.28,0.0,0.0,6.43
75,1994-04-28,-4.66,-4.72,-4.66,-4.74,20516,10176000.0,-1.71,-0.85,-0.04,4.56
76,1994-04-29,-4.73,-4.74,-4.67,-4.75,20589,10061000.0,-1.69,-0.42,-0.02,4.58
77,1994-05-03,-4.74,-4.74,-4.72,-4.77,6792,3209000.0,-1.05,0.0,0.0,1.51
78,1994-05-04,-4.72,-4.72,-4.71,-4.74,8306,4023000.0,-0.63,0.42,0.02,1.85
79,1994-05-05,-4.75,-4.79,-4.74,-4.81,8045,3709000.0,-1.48,-1.48,-0.07,1.79
80,1994-05-06,-4.81,-4.83,-4.8,-4.85,8344,3683000.0,-1.04,-0.84,-0.04,1.85
81,1994-05-09,-4.82,-4.81,-4.81,-4.84,11981,5315000.0,-0.62,0.41,0.02,2.66
82,1994-05-10,-4.79,-4.74,-4.74,-4.8,22615,10530000.0,-1.25,1.46,0.07,5.03
83,1994-05-11,-4.72,-4.78,-4.66,-4.78,59009,29128000.0,-2.53,-0.84,-0.04,13.11
84,1994-05-12,-4.78,-4.81,-4.78,-4.82,10572,4820000.0,-0.84,-0.63,-0.03,2.35
85,1994-05-13,-4.82,-4.8,-4.78,-4.84,14403,6418000.0,-1.25,0.21,0.01,3.2
86,1994-05-16,-4.77,-4.79,-4.77,-4.8,7137,3290000.0,-0.63,0.21,0.01,1.59
87,1994-05-17,-4.79,-4.78,-4.78,-4.8,3790,1737000.0,-0.42,0.21,0.01,0.84
88,1994-05-18,-4.78,-4.81,-4.78,-4.81,3268,1477000.0,-0.63,-0.63,-0.03,0.73
89,1994-05-19,-4.82,-4.81,-4.8,-4.83,3363,1505000.0,-0.62,0.0,0.0,0.75
90,1994-05-20,-4.8,-4.8,-4.79,-4.81,3077,1398000.0,-0.42,0.21,0.01,0.68
91,1994-05-23,-4.8,-4.82,-4.79,-4.82,2541,1142000.0,-0.63,-0.42,-0.02,0.56
92,1994-05-24,-4.81,-4.79,-4.79,-4.82,2872,1299000.0,-0.62,0.62,0.03,0.64
