,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1996-12-06,-4.81,-4.54,-4.52,-4.81,210012,315587000.0,-4.02,37.12,2.68,66.67
1,1996-12-09,-4.51,-4.2,-4.1,-4.51,86548,144517000.0,-9.03,7.49,0.34,27.48
2,1996-12-10,-4.19,-4.22,-4.1,-4.43,60570,101532000.0,-7.86,-0.48,-0.02,19.23
3,1996-12-11,-4.22,-4.2,-4.07,-4.31,49941,85177000.0,-5.69,0.47,0.02,15.85
4,1996-12-12,-4.15,-4.49,-4.14,-4.49,34957,56780000.0,-8.33,-6.9,-0.29,11.1
5,1996-12-13,-4.54,-4.74,-4.47,-4.79,22961,35017000.0,-7.13,-5.57,-0.25,7.29
6,1996-12-16,-5.11,-5.11,-5.11,-5.11,1155,1538000.0,0.0,-7.81,-0.37,0.37
7,1996-12-17,-5.44,-5.44,-5.44,-5.44,1359,1629000.0,0.0,-6.46,-0.33,0.43
8,1996-12-18,-5.73,-5.33,-5.18,-5.73,31664,35947000.0,-10.11,2.02,0.11,10.05
9,1996-12-19,-5.36,-5.64,-5.36,-5.64,22669,26226000.0,-5.25,-5.82,-0.31,7.2
10,1996-12-20,-5.91,-5.91,-5.78,-5.92,22267,22474000.0,-2.48,-4.79,-0.27,7.07
11,1996-12-23,-5.8,-5.9,-5.78,-6.01,17799,17978000.0,-3.89,0.17,0.01,5.65
12,1996-12-24,-5.85,-5.93,-5.84,-5.95,13864,14092000.0,-1.86,-0.51,-0.03,4.4
13,1996-12-25,-5.89,-5.87,-5.87,-6.05,11727,11697000.0,-3.04,1.01,0.06,3.72
14,1996-12-26,-5.81,-5.74,-5.71,-5.92,19341,20232000.0,-3.58,2.21,0.13,6.14
15,1996-12-27,-5.73,-5.77,-5.73,-5.85,15143,16009000.0,-2.09,-0.52,-0.03,4.81
16,1996-12-30,-5.75,-5.51,-5.51,-5.76,31476,35433000.0,-4.33,4.51,0.26,9.99
17,1996-12-31,-5.48,-5.5,-5.36,-5.54,43058,51448000.0,-3.27,0.18,0.01,13.67
18,1997-01-02,-5.44,-5.39,-5.32,-5.53,22928,27691000.0,-3.82,2.0,0.11,7.28
19,1997-01-03,-5.37,-5.6,-5.35,-5.63,22041,25748000.0,-5.19,-3.9,-0.21,7.0
20,1997-01-06,-5.7,-5.76,-5.63,-5.78,8556,9361000.0,-2.68,-2.86,-0.16,2.72
21,1997-01-07,-5.8,-5.58,-5.56,-5.8,13507,15021000.0,-4.17,3.13,0.18,4.29
22,1997-01-08,-5.58,-5.58,-5.49,-5.63,11857,13586000.0,-2.51,0.0,0.0,3.76
23,1997-01-09,-5.59,-5.53,-5.48,-5.59,8196,9532000.0,-1.97,0.9,0.05,2.6
24,1997-01-10,-5.53,-5.44,-5.44,-5.53,13437,15874000.0,-1.63,1.63,0.09,4.27
25,1997-01-13,-5.37,-5.35,-5.31,-5.4,21307,26275000.0,-1.65,1.65,0.09,6.76
26,1997-01-14,-5.39,-5.47,-5.32,-5.55,19346,23275000.0,-4.3,-2.24,-0.12,6.14
27,1997-01-15,-5.47,-5.39,-5.37,-5.5,10055,12172000.0,-2.38,1.46,0.08,3.19
28,1997-01-16,-5.39,-5.41,-5.33,-5.46,7817,9461000.0,-2.41,-0.37,-0.02,2.48
29,1997-01-17,-5.38,-5.39,-5.36,-5.44,6065,7365000.0,-1.48,0.37,0.02,1.93
30,1997-01-20,-5.39,-5.42,-5.39,-5.46,5108,6133000.0,-1.3,-0.56,-0.03,1.62
31,1997-01-21,-5.41,-5.4,-5.39,-5.43,7250,8757000.0,-0.74,0.37,0.02,2.3
32,1997-01-22,-5.42,-5.19,-5.18,-5.43,21869,27499000.0,-4.63,3.89,0.21,6.94
33,1997-01-23,-5.16,-5.15,-5.11,-5.27,31704,41662000.0,-3.08,0.77,0.04,10.06
34,1997-01-24,-5.15,-5.18,-5.15,-5.27,11457,14748000.0,-2.33,-0.58,-0.03,3.64
35,1997-01-27,-5.18,-5.12,-5.09,-5.18,13757,18194000.0,-1.74,1.16,0.06,4.37
36,1997-01-28,-5.16,-5.16,-5.12,-5.2,6347,8313000.0,-1.56,-0.78,-0.04,2.01
37,1997-01-29,-5.16,-5.15,-5.1,-5.18,7758,10197000.0,-1.55,0.19,0.01,2.46
38,1997-01-30,-5.16,-5.17,-5.12,-5.21,5947,7753000.0,-1.75,-0.39,-0.02,1.89
39,1997-01-31,-5.19,-5.18,-5.12,-5.21,10661,13890000.0,-1.74,-0.19,-0.01,3.38
40,1997-02-17,-5.18,-5.15,-5.12,-5.21,6727,8848000.0,-1.74,0.58,0.03,2.14
41,1997-02-18,-5.17,-5.47,-5.17,-5.47,19651,24305000.0,-5.83,-6.21,-0.32,6.24
42,1997-02-19,-5.31,-5.29,-5.24,-5.43,12157,14935000.0,-3.47,3.29,0.18,3.86
43,1997-02-20,-5.6,-5.41,-5.36,-5.6,14481,17172000.0,-4.54,-2.27,-0.12,4.6
44,1997-02-21,-5.38,-5.32,-5.29,-5.41,10551,13004000.0,-2.22,1.66,0.09,3.35
45,1997-02-24,-5.31,-5.36,-5.31,-5.38,7997,9867000.0,-1.32,-0.75,-0.04,2.54
46,1997-02-25,-5.36,-5.33,-5.29,-5.37,8311,10351000.0,-1.49,0.56,0.03,2.64
47,1997-02-26,-5.31,-5.23,-5.19,-5.31,9688,12392000.0,-2.25,1.88,0.1,3.08
48,1997-02-27,-5.21,-5.24,-5.2,-5.26,9129,11724000.0,-1.15,-0.19,-0.01,2.9
49,1997-02-28,-5.26,-5.26,-5.24,-5.43,8201,10270000.0,-3.63,-0.38,-0.02,2.6
50,1997-03-03,-5.26,-5.19,-5.18,-5.36,14717,18842000.0,-3.42,1.33,0.07,4.67
51,1997-03-04,-5.38,-5.32,-5.29,-5.38,14021,17412000.0,-1.73,-2.5,-0.13,4.45
52,1997-03-05,-5.33,-5.38,-5.33,-5.41,15240,18664000.0,-1.5,-1.13,-0.06,4.84
53,1997-03-06,-5.43,-5.32,-5.19,-5.46,7100,8746000.0,-5.02,1.12,0.06,2.25
54,1997-03-07,-5.32,-5.31,-5.24,-5.33,16687,21009000.0,-1.69,0.19,0.01,5.3
55,1997-03-10,-5.31,-5.29,-5.29,-5.37,16442,20329000.0,-1.51,0.38,0.02,5.22
56,1997-03-11,-5.28,-5.31,-5.26,-5.34,10672,13307000.0,-1.51,-0.38,-0.02,3.39
57,1997-03-12,-5.31,-5.18,-5.13,-5.32,43962,56582000.0,-3.58,2.45,0.13,13.96
58,1997-03-13,-5.18,-5.26,-5.17,-5.31,15536,19745000.0,-2.7,-1.54,-0.08,4.93
59,1997-03-14,-5.26,-5.27,-5.25,-5.36,10067,12607000.0,-2.09,-0.19,-0.01,3.2
60,1997-03-17,-5.28,-5.22,-5.18,-5.29,19703,25063000.0,-2.09,0.95,0.05,6.25
61,1997-03-18,-5.21,-5.28,-5.19,-5.31,14278,18196000.0,-2.3,-1.15,-0.06,4.53
62,1997-03-19,-5.26,-5.21,-5.13,-5.29,27245,35344000.0,-3.03,1.33,0.07,8.65
63,1997-03-20,-5.18,-5.26,-5.03,-5.3,26434,34936000.0,-5.18,-0.96,-0.05,8.39
64,1997-03-21,-5.26,-5.13,-5.12,-5.27,18285,23793000.0,-2.85,2.47,0.13,5.8
65,1997-03-24,-4.99,-5.09,-4.98,-5.11,32773,44410000.0,-2.53,0.78,0.04,10.4
66,1997-03-25,-5.08,-5.17,-5.06,-5.2,16046,21112000.0,-2.75,-1.57,-0.08,5.09
67,1997-03-26,-5.16,-5.13,-5.11,-5.18,12466,16359000.0,-1.35,0.77,0.04,3.96
68,1997-03-27,-5.13,-5.19,-5.13,-5.21,11932,15592000.0,-1.56,-1.17,-0.06,3.79
69,1997-03-28,-5.18,-5.19,-5.13,-5.21,9906,12971000.0,-1.54,0.0,0.0,3.14
70,1997-03-31,-5.19,-5.12,-5.12,-5.2,13796,18086000.0,-1.54,1.35,0.07,4.38
71,1997-04-01,-5.11,-5.05,-5.02,-5.13,21589,29000000.0,-2.15,1.37,0.07,6.85
72,1997-04-02,-5.03,-5.14,-5.03,-5.14,9101,12164000.0,-2.18,-1.78,-0.09,2.89
73,1997-04-03,-5.14,-5.13,-5.11,-5.18,7105,9368000.0,-1.36,0.19,0.01,2.26
74,1997-04-04,-5.11,-5.15,-5.11,-5.18,10713,14081000.0,-1.36,-0.39,-0.02,3.4
75,1997-04-07,-5.14,-5.08,-5.08,-5.16,17998,23871000.0,-1.55,1.36,0.07,5.71
76,1997-04-08,-5.06,-5.17,-5.06,-5.19,9032,11933000.0,-2.56,-1.77,-0.09,2.87
77,1997-04-09,-5.15,-5.08,-5.01,-5.16,17871,24002000.0,-2.9,1.74,0.09,5.67
78,1997-04-10,-5.07,-4.91,-4.82,-5.07,48707,68463000.0,-4.92,3.35,0.17,15.46
79,1997-04-11,-4.93,-4.97,-4.93,-5.06,18072,24888000.0,-2.65,-1.22,-0.06,5.74
80,1997-04-14,-4.87,-4.93,-4.79,-4.94,27102,38466000.0,-3.02,0.8,0.04,8.6
