,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1994-05-09,-18.85,-18.8,-18.8,-18.85,122222,115036336.0,-0.26,1.16,0.22,62.07
1,1994-05-10,-18.79,-18.74,-18.73,-18.79,136563,145005520.0,-0.32,0.32,0.06,69.35
2,1994-05-11,-18.69,-18.74,-18.67,-18.75,96130,112760752.0,-0.43,0.0,0.0,48.82
3,1994-05-12,-18.75,-18.75,-18.72,-18.75,65023,71640672.0,-0.16,-0.05,-0.01,33.02
4,1994-05-13,-18.74,-18.73,-18.72,-18.77,57780,63714120.0,-0.27,0.11,0.02,29.34
5,1994-05-16,-18.72,-18.73,-18.71,-18.74,33710,38178344.0,-0.16,0.0,0.0,17.12
6,1994-05-17,-18.73,-18.75,-18.73,-18.76,15528,17100252.0,-0.16,-0.11,-0.02,7.89
7,1994-05-18,-18.76,-18.77,-18.75,-18.77,14331,15196526.0,-0.11,-0.11,-0.02,7.28
8,1994-05-19,-18.77,-18.74,-18.74,-18.77,12465,13462585.0,-0.16,0.16,0.03,6.33
9,1994-05-20,-18.75,-18.76,-18.74,-18.76,9655,10467773.0,-0.11,-0.11,-0.02,4.9
10,1994-05-23,-18.76,-18.77,-18.75,-18.77,4487,4754671.0,-0.11,-0.05,-0.01,2.28
11,1994-05-24,-18.76,-18.76,-18.74,-18.77,4656,4992601.0,-0.16,0.05,0.01,2.36
12,1994-05-25,-18.77,-18.77,-18.75,-18.78,4523,4776108.0,-0.16,-0.05,-0.01,2.3
13,1994-05-26,-18.77,-18.79,-18.77,-18.79,7970,8182654.5,-0.11,-0.11,-0.02,4.05
14,1994-05-27,-18.79,-18.79,-18.78,-18.79,3954,4037666.75,-0.05,0.0,0.0,2.01
15,1994-05-30,-18.8,-18.83,-18.8,-18.83,6271,6051492.5,-0.16,-0.21,-0.04,3.18
16,1994-05-31,-18.83,-18.82,-18.81,-18.83,6966,6664531.0,-0.11,0.05,0.01,3.54
17,1994-06-01,-18.82,-18.84,-18.82,-18.84,4467,4171838.0,-0.11,-0.11,-0.02,2.27
18,1994-06-02,-18.85,-18.85,-18.83,-18.85,2756,2509961.0,-0.11,-0.05,-0.01,1.4
19,1994-06-03,-18.84,-18.84,-18.83,-18.85,4450,4096180.75,-0.11,0.05,0.01,2.26
20,1994-06-06,-18.83,-18.85,-18.83,-18.85,2094,1901171.0,-0.11,-0.05,-0.01,1.06
21,1994-06-07,-18.85,-18.85,-18.84,-18.85,544,495302.0,-0.05,0.0,0.0,0.28
22,1994-06-08,-18.85,-18.84,-18.84,-18.86,2898,2627246.0,-0.11,0.05,0.01,1.47
23,1994-06-09,-18.84,-18.85,-18.84,-18.86,3554,3224356.0,-0.11,-0.05,-0.01,1.8
24,1994-06-10,-18.84,-18.86,-18.84,-18.87,5990,5297180.0,-0.16,-0.05,-0.01,3.04
25,1994-06-13,-18.86,-18.9,-18.86,-18.9,3370,2811973.0,-0.21,-0.21,-0.04,1.71
26,1994-06-14,-18.9,-18.9,-18.88,-18.91,7935,6400151.0,-0.16,0.0,0.0,4.03
27,1994-06-15,-18.9,-18.9,-18.9,-18.9,2167,1742736.12,0.0,0.0,0.0,1.1
28,1994-06-16,-18.89,-18.89,-18.88,-18.9,5653,4649316.0,-0.11,0.05,0.01,2.87
29,1994-06-17,-18.88,-18.87,-18.87,-18.9,10451,8852102.0,-0.16,0.11,0.02,5.31
30,1994-06-20,-18.87,-18.89,-18.87,-18.89,9853,8352410.0,-0.11,-0.11,-0.02,5.0
31,1994-06-21,-18.9,-18.9,-18.9,-18.9,4415,3575325.75,0.0,-0.05,-0.01,2.24
32,1994-06-22,-18.9,-18.89,-18.89,-18.9,1650,1351138.12,-0.05,0.05,0.01,0.84
33,1994-06-23,-18.89,-18.9,-18.89,-18.9,2943,2392504.5,-0.05,-0.05,-0.01,1.49
34,1994-06-24,-18.9,-18.9,-18.9,-18.9,2210,1776005.75,0.0,0.0,0.0,1.12
35,1994-06-27,-18.91,-18.93,-18.91,-18.93,4292,3267474.5,-0.11,-0.16,-0.03,2.18
36,1994-06-28,-18.94,-18.93,-18.93,-18.94,2190,1630733.0,-0.05,0.0,0.0,1.11
37,1994-06-29,-18.93,-18.94,-18.93,-18.95,1518,1109488.12,-0.11,-0.05,-0.01,0.77
38,1994-06-30,-18.95,-18.94,-18.94,-18.95,2091,1516982.88,-0.05,0.0,0.0,1.06
39,1994-07-01,-18.94,-18.95,-18.94,-18.96,1517,1085298.75,-0.11,-0.05,-0.01,0.77
40,1994-07-04,-18.96,-18.97,-18.96,-18.97,3083,2107014.5,-0.05,-0.11,-0.02,1.57
41,1994-07-08,-18.97,-18.97,-18.96,-18.98,3345,2272036.0,-0.11,0.0,0.0,1.7
42,1994-07-11,-18.97,-18.98,-18.96,-18.98,2864,1907000.0,-0.11,-0.05,-0.01,1.45
43,1994-07-12,-18.98,-18.98,-18.98,-18.98,1291,844589.25,0.0,0.0,0.0,0.66
44,1994-07-13,-18.98,-18.97,-18.97,-18.98,2630,1757988.75,-0.05,0.05,0.01,1.34
45,1994-07-14,-18.97,-18.97,-18.96,-18.97,5464,3718816.75,-0.05,0.0,0.0,2.77
46,1994-07-15,-18.97,-18.98,-18.97,-18.98,1472,974256.06,-0.05,-0.05,-0.01,0.75
47,1994-07-18,-18.98,-18.99,-18.98,-18.99,1425,919284.62,-0.05,-0.05,-0.01,0.72
48,1994-07-19,-18.99,-18.99,-18.98,-19.0,1733,1091731.0,-0.11,0.0,0.0,0.88
49,1994-07-20,-18.99,-19.0,-18.99,-19.0,929,582055.94,-0.05,-0.05,-0.01,0.47
50,1994-07-21,-19.0,-19.0,-19.0,-19.0,1792,1101119.0,0.0,0.0,0.0,0.91
51,1994-07-22,-19.0,-19.0,-19.0,-19.01,1832,1125701.12,-0.05,0.0,0.0,0.93
52,1994-07-25,-19.0,-18.99,-18.99,-19.01,2904,1820985.0,-0.11,0.05,0.01,1.47
53,1994-07-26,-18.99,-18.97,-18.97,-18.99,10397,6745269.5,-0.11,0.11,0.02,5.28
54,1994-07-27,-18.98,-18.99,-18.97,-19.0,9495,6223518.0,-0.16,-0.11,-0.02,4.82
55,1994-07-28,-19.0,-19.01,-18.99,-19.01,5360,3284207.25,-0.11,-0.11,-0.02,2.72
56,1994-07-29,-19.03,-19.01,-19.01,-19.03,7582,4484689.5,-0.11,0.0,0.0,3.85
57,1994-08-01,-18.96,-18.92,-18.92,-18.96,27487,19970584.0,-0.21,0.47,0.09,13.96
58,1994-08-02,-18.9,-18.9,-18.85,-18.91,33026,28035536.0,-0.32,0.11,0.02,16.77
59,1994-08-03,-18.91,-18.8,-18.8,-18.91,37549,31465164.0,-0.58,0.53,0.1,19.07
60,1994-08-04,-18.79,-18.82,-18.79,-18.85,78896,77329768.0,-0.32,-0.11,-0.02,40.07
61,1994-08-05,-18.81,-18.79,-18.79,-18.82,43992,43454488.0,-0.16,0.16,0.03,22.34
62,1994-08-08,-18.79,-18.81,-18.78,-18.82,36164,35863812.0,-0.21,-0.11,-0.02,18.36
63,1994-08-09,-18.82,-18.85,-18.82,-18.86,22104,20349274.0,-0.21,-0.21,-0.04,11.22
64,1994-08-10,-18.86,-18.8,-18.8,-18.87,25585,23882542.0,-0.37,0.27,0.05,12.99
65,1994-08-11,-18.8,-18.81,-18.77,-18.82,72170,73370776.0,-0.27,-0.05,-0.01,36.65
66,1994-08-12,-18.82,-18.81,-18.78,-18.82,25895,25524418.0,-0.21,0.0,0.0,13.15
67,1994-08-15,-18.81,-18.82,-18.81,-18.83,15370,14702105.0,-0.11,-0.05,-0.01,7.81
68,1994-08-16,-18.83,-18.81,-18.8,-18.83,10172,9918436.0,-0.16,0.05,0.01,5.17
69,1994-08-17,-18.81,-18.78,-18.78,-18.81,17119,17020950.0,-0.16,0.16,0.03,8.69
70,1994-08-18,-18.77,-18.7,-18.69,-18.78,86790,95260824.0,-0.48,0.43,0.08,44.07
71,1994-08-19,-18.7,-18.73,-18.69,-18.74,44646,51008120.0,-0.27,-0.16,-0.03,22.67
72,1994-08-22,-18.72,-18.7,-18.68,-18.74,69881,82863872.0,-0.32,0.16,0.03,35.49
73,1994-08-23,-18.69,-18.69,-18.67,-18.72,21108,24926440.0,-0.27,0.05,0.01,10.72
74,1994-08-24,-18.68,-18.69,-18.67,-18.69,49135,60171016.0,-0.11,0.0,0.0,24.95
75,1994-08-25,-18.69,-18.7,-18.68,-18.71,16597,19877516.0,-0.16,-0.05,-0.01,8.43
76,1994-08-26,-18.7,-18.71,-18.68,-18.71,22018,25911112.0,-0.16,-0.05,-0.01,11.18
77,1994-08-29,-18.71,-18.71,-18.68,-18.72,16895,19915844.0,-0.21,0.0,0.0,8.58
78,1994-08-30,-18.71,-18.69,-18.68,-18.71,19708,23531094.0,-0.16,0.11,0.02,10.01
79,1994-08-31,-18.68,-18.61,-18.61,-18.69,54157,67344200.0,-0.43,0.43,0.08,27.5
80,1994-09-01,-18.61,-18.57,-18.57,-18.64,41147,56866432.0,-0.38,0.21,0.04,20.9
81,1994-09-02,-18.58,-18.5,-18.5,-18.59,45378,65913400.0,-0.48,0.38,0.07,23.04
82,1994-09-05,-18.47,-18.41,-18.37,-18.48,52801,89526288.0,-0.59,0.49,0.09,26.81
83,1994-09-06,-18.38,-18.24,-18.24,-18.4,40923,75140040.0,-0.87,0.92,0.17,20.78
84,1994-09-07,-18.2,-18.34,-18.2,-18.37,32721,64608116.0,-0.93,-0.55,-0.1,16.62
85,1994-09-08,-18.34,-18.3,-18.29,-18.35,21596,40733968.0,-0.33,0.22,0.04,10.97
86,1994-09-09,-18.31,-18.36,-18.31,-18.39,15816,29318696.0,-0.44,-0.33,-0.06,8.03
87,1994-09-12,-18.34,-18.32,-18.32,-18.35,13977,26080252.0,-0.16,0.22,0.04,7.1
88,1994-09-13,-18.3,-18.35,-18.3,-18.37,34566,64900604.0,-0.38,-0.16,-0.03,17.55
89,1994-09-14,-18.35,-18.4,-18.35,-18.42,51202,88989072.0,-0.38,-0.27,-0.05,26.0
90,1994-09-15,-18.41,-18.41,-18.39,-18.42,24986,43027336.0,-0.16,-0.05,-0.01,12.69
91,1994-09-16,-18.38,-18.4,-18.37,-18.41,16004,27889308.0,-0.22,0.05,0.01,8.13
92,1994-09-19,-18.4,-18.41,-18.4,-18.42,8557,14743520.0,-0.11,-0.05,-0.01,4.35
93,1994-09-20,-18.43,-18.44,-18.42,-18.44,7172,12063751.0,-0.11,-0.16,-0.03,3.64
94,1994-09-21,-18.44,-18.41,-18.4,-18.44,6989,12006173.0,-0.22,0.16,0.03,3.55
95,1994-09-22,-18.4,-18.43,-18.39,-18.44,9282,15909455.0,-0.27,-0.11,-0.02,4.71
96,1994-09-23,-18.45,-18.45,-18.44,-18.46,8032,13250985.0,-0.11,-0.11,-0.02,4.08
97,1994-09-26,-18.45,-18.43,-18.42,-18.45,6061,10179991.0,-0.16,0.11,0.02,3.08
98,1994-09-27,-18.42,-18.43,-18.42,-18.45,6759,11343989.0,-0.16,0.0,0.0,3.43
99,1994-09-28,-18.43,-18.4,-18.4,-18.44,11871,20441450.0,-0.22,0.16,0.03,6.03
100,1994-09-29,-18.39,-18.49,-18.39,-18.54,15544,24850188.0,-0.82,-0.49,-0.09,7.89
101,1994-09-30,-18.49,-18.53,-18.49,-18.55,23017,34406240.0,-0.32,-0.22,-0.04,11.69
102,1994-10-05,-18.58,-18.61,-18.55,-18.64,10650,14787959.0,-0.49,-0.43,-0.08,5.41
103,1994-10-06,-18.63,-18.66,-18.58,-18.67,17327,22884066.0,-0.48,-0.27,-0.05,8.8
104,1994-10-07,-18.68,-18.62,-18.6,-18.77,27522,32619968.0,-0.91,0.21,0.04,13.98
105,1994-10-10,-18.62,-18.66,-18.62,-18.73,16948,21299144.0,-0.59,-0.21,-0.04,8.61
106,1994-10-11,-18.67,-18.66,-18.64,-18.68,4566,5762663.5,-0.21,0.0,0.0,2.32
107,1994-10-12,-18.65,-18.65,-18.64,-18.66,3783,4821857.0,-0.11,0.05,0.01,1.92
108,1994-10-13,-18.65,-18.7,-18.65,-18.7,5769,7032866.5,-0.27,-0.27,-0.05,2.93
109,1994-10-14,-18.7,-18.68,-18.66,-18.73,8193,9635124.0,-0.37,0.11,0.02,4.16
110,1994-10-17,-18.68,-18.71,-18.68,-18.72,3545,4177046.75,-0.21,-0.16,-0.03,1.8
111,1994-10-18,-18.72,-18.71,-18.68,-18.72,2123,2491591.0,-0.21,0.0,0.0,1.08
112,1994-10-19,-18.69,-18.68,-18.68,-18.7,5177,6219544.5,-0.11,0.16,0.03,2.63
113,1994-10-20,-18.68,-18.65,-18.65,-18.68,7715,9540802.0,-0.16,0.16,0.03,3.92
114,1994-10-21,-18.64,-18.65,-18.61,-18.65,21603,28271222.0,-0.21,0.0,0.0,10.97
115,1994-10-24,-18.65,-18.6,-18.6,-18.65,14659,19314382.0,-0.27,0.27,0.05,7.44
116,1994-10-25,-18.59,-18.63,-18.58,-18.64,15642,21126892.0,-0.32,-0.16,-0.03,7.94
117,1994-10-26,-18.64,-18.64,-18.63,-18.65,6790,8785171.0,-0.11,-0.05,-0.01,3.45
118,1994-10-27,-18.65,-18.63,-18.63,-18.66,2710,3478115.75,-0.16,0.05,0.01,1.38
119,1994-10-28,-18.63,-18.65,-18.63,-18.65,1777,2291987.0,-0.11,-0.11,-0.02,0.9
120,1994-10-31,-18.64,-18.66,-18.64,-18.67,3685,4647755.0,-0.16,-0.05,-0.01,1.87
121,1994-11-01,-18.66,-18.66,-18.65,-18.67,1575,1969032.25,-0.11,0.0,0.0,0.8
122,1994-11-02,-18.66,-18.66,-18.65,-18.67,630,788694.12,-0.11,0.0,0.0,0.32
123,1994-11-03,-18.66,-18.64,-18.63,-18.66,3745,4822671.0,-0.16,0.11,0.02,1.9
124,1994-11-04,-18.64,-18.66,-18.63,-18.66,3162,4025672.25,-0.16,-0.11,-0.02,1.61
125,1994-11-07,-18.66,-18.66,-18.66,-18.68,1854,2297936.5,-0.11,0.0,0.0,0.94
126,1994-11-08,-18.65,-18.64,-18.63,-18.65,7346,9507370.0,-0.11,0.11,0.02,3.73
127,1994-11-09,-18.64,-18.63,-18.63,-18.65,5007,6517071.5,-0.11,0.05,0.01,2.54
128,1994-11-10,-18.63,-18.65,-18.62,-18.65,4577,6006285.5,-0.16,-0.11,-0.02,2.32
129,1994-11-11,-18.65,-18.63,-18.63,-18.65,2824,3662379.5,-0.11,0.11,0.02,1.43
130,1994-11-14,-18.61,-18.63,-18.61,-18.63,3894,5157369.5,-0.11,0.0,0.0,1.98
131,1994-11-15,-18.63,-18.64,-18.63,-18.65,3066,3955670.0,-0.11,-0.05,-0.01,1.56
132,1994-11-16,-18.65,-18.65,-18.64,-18.65,1455,1862090.0,-0.05,-0.05,-0.01,0.74
133,1994-11-17,-18.65,-18.66,-18.64,-18.66,1028,1313318.88,-0.11,-0.05,-0.01,0.52
134,1994-11-18,-18.66,-18.65,-18.64,-18.66,1442,1819669.88,-0.11,0.05,0.01,0.66
135,1994-11-21,-18.66,-18.65,-18.65,-18.66,830,1052471.0,-0.05,0.0,0.0,0.38
136,1994-11-22,-18.65,-18.65,-18.65,-18.65,542,688171.88,0.0,0.0,0.0,0.25
137,1994-11-23,-18.65,-18.65,-18.65,-18.65,1668,2119393.25,0.0,0.0,0.0,0.76
138,1994-11-24,-18.65,-18.65,-18.65,-18.66,1837,2342144.0,-0.05,0.0,0.0,0.84
139,1994-11-25,-18.65,-18.65,-18.64,-18.65,1775,2276661.75,-0.05,0.0,0.0,0.81
140,1994-11-28,-18.65,-18.65,-18.65,-18.65,452,575535.94,0.0,0.0,0.0,0.21
141,1994-11-29,-18.66,-18.65,-18.65,-18.71,669,842646.12,-0.32,0.0,0.0,0.31
142,1994-11-30,-18.64,-18.65,-18.64,-18.66,819,1043794.0,-0.11,0.0,0.0,0.37
143,1994-12-01,-18.65,-18.65,-18.65,-18.65,489,623230.0,0.0,0.0,0.0,0.22
144,1994-12-02,-18.65,-18.65,-18.65,-18.65,679,864000.0,0.0,0.0,0.0,0.31
145,1994-12-05,-18.64,-18.67,-18.64,-18.67,1542,1925913.75,-0.16,-0.11,-0.02,0.7
146,1994-12-06,-18.67,-18.69,-18.67,-18.69,1560,1889785.62,-0.11,-0.11,-0.02,0.71
147,1994-12-07,-18.69,-18.68,-18.68,-18.69,1205,1455940.0,-0.05,0.05,0.01,0.55
148,1994-12-09,-18.69,-18.7,-18.69,-18.7,777,920058.12,-0.05,-0.11,-0.02,0.36
149,1994-12-12,-18.71,-18.73,-18.71,-18.73,2206,2515622.25,-0.11,-0.16,-0.03,1.01
150,1994-12-13,-18.72,-18.71,-18.71,-18.73,2142,2460404.25,-0.11,0.11,0.02,0.98
151,1994-12-14,-18.71,-18.73,-18.71,-18.73,1309,1488847.0,-0.11,-0.11,-0.02,0.6
152,1994-12-15,-18.73,-18.67,-18.67,-18.73,4188,4987328.0,-0.32,0.32,0.06,1.91
153,1994-12-16,-18.67,-18.68,-18.65,-18.71,7468,9262572.0,-0.32,-0.05,-0.01,3.41
154,1994-12-19,-18.68,-18.7,-18.67,-18.7,2501,3001093.5,-0.16,-0.11,-0.02,1.14
155,1994-12-20,-18.71,-18.69,-18.68,-18.71,1992,2356413.25,-0.16,0.05,0.01,0.91
156,1994-12-21,-18.71,-18.71,-18.69,-18.71,1716,2035818.0,-0.11,-0.11,-0.02,0.78
157,1994-12-22,-18.71,-18.71,-18.7,-18.72,2116,2448734.25,-0.11,0.0,0.0,0.97
158,1994-12-23,-18.7,-18.7,-18.69,-18.72,1882,2203005.0,-0.16,0.05,0.01,0.86
159,1994-12-26,-18.7,-18.72,-18.7,-18.72,1584,1835434.75,-0.11,-0.11,-0.02,0.72
160,1994-12-27,-18.72,-18.71,-18.71,-18.72,773,891800.12,-0.05,0.05,0.01,0.35
161,1994-12-28,-18.71,-18.7,-18.7,-18.71,1294,1513298.88,-0.05,0.05,0.01,0.59
162,1994-12-29,-18.7,-18.71,-18.7,-18.71,1077,1262461.0,-0.05,-0.05,-0.01,0.49
163,1994-12-30,-18.71,-18.69,-18.69,-18.71,3331,3938814.0,-0.11,0.11,0.02,1.52
164,1995-01-03,-18.69,-18.69,-18.69,-18.71,734,863123.0,-0.11,0.0,0.0,0.34
165,1995-01-04,-18.69,-18.66,-18.66,-18.7,4996,6114105.0,-0.21,0.16,0.03,2.28
166,1995-01-05,-18.66,-18.67,-18.66,-18.69,4324,5347923.0,-0.16,-0.05,-0.01,1.98
167,1995-01-06,-18.68,-18.68,-18.68,-18.69,1771,2152827.5,-0.05,-0.05,-0.01,0.81
168,1995-01-09,-18.68,-18.69,-18.68,-18.69,1668,2012608.75,-0.05,-0.05,-0.01,0.76
169,1995-01-10,-18.7,-18.7,-18.69,-18.71,2587,3052660.0,-0.11,-0.05,-0.01,1.18
170,1995-01-11,-18.71,-18.7,-18.69,-18.71,1063,1256678.5,-0.11,0.0,0.0,0.49
171,1995-01-12,-18.69,-18.7,-18.67,-18.7,2488,2971667.0,-0.16,0.0,0.0,1.14
172,1995-01-13,-18.71,-18.7,-18.7,-18.71,1673,1967782.62,-0.05,0.0,0.0,0.76
173,1995-01-16,-18.7,-18.71,-18.7,-18.71,2074,2420772.75,-0.05,-0.05,-0.01,0.95
174,1995-01-17,-18.71,-18.72,-18.71,-18.72,1506,1739731.25,-0.05,-0.05,-0.01,0.69
175,1995-01-18,-18.72,-18.71,-18.71,-18.72,1488,1726377.62,-0.05,0.05,0.01,0.68
176,1995-01-19,-18.7,-18.72,-18.7,-18.73,2230,2570744.0,-0.16,-0.05,-0.01,1.02
177,1995-01-20,-18.73,-18.73,-18.72,-18.74,1496,1687488.0,-0.11,-0.05,-0.01,0.68
178,1995-01-23,-18.73,-18.74,-18.73,-18.74,576,643622.38,-0.05,-0.05,-0.01,0.26
179,1995-01-24,-18.74,-18.74,-18.73,-18.74,485,541260.0,-0.05,0.0,0.0,0.22
180,1995-01-25,-18.73,-18.73,-18.72,-18.73,874,988319.19,-0.05,0.05,0.01,0.4
181,1995-01-26,-18.72,-18.73,-18.72,-18.73,559,634688.62,-0.05,0.0,0.0,0.26
182,1995-01-27,-18.73,-18.72,-18.72,-18.73,899,1020005.38,-0.05,0.05,0.01,0.41
183,1995-02-13,-18.73,-18.72,-18.72,-18.73,468,531086.38,-0.05,0.0,0.0,0.21
184,1995-02-14,-18.72,-18.73,-18.72,-18.74,324,366508.81,-0.11,-0.05,-0.01,0.15
185,1995-02-15,-18.73,-18.73,-18.72,-18.73,425,479145.0,-0.05,0.0,0.0,0.19
186,1995-02-16,-18.73,-18.73,-18.72,-18.73,157,177441.41,-0.05,0.0,0.0,0.07
187,1995-02-17,-18.73,-18.72,-18.64,-18.73,311,362439.41,-0.48,0.05,0.01,0.14
188,1995-02-20,-18.72,-18.72,-18.72,-18.72,223,254487.59,0.0,0.0,0.0,0.1
189,1995-02-21,-18.72,-18.71,-18.71,-18.72,311,357650.0,-0.05,0.05,0.01,0.14
190,1995-02-22,-18.71,-18.66,-18.66,-18.71,6527,7948581.0,-0.27,0.27,0.05,2.98
191,1995-02-23,-18.66,-18.68,-18.66,-18.69,8345,10244322.0,-0.16,-0.11,-0.02,3.81
192,1995-02-24,-18.69,-18.71,-18.67,-18.71,3419,4041942.0,-0.21,-0.16,-0.03,1.56
193,1995-02-27,-18.71,-18.71,-18.68,-18.71,3827,4472997.5,-0.16,0.0,0.0,1.75
194,1995-02-28,-18.72,-18.7,-18.69,-18.72,929,1090831.88,-0.16,0.05,0.01,0.42
