,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2009-11-06,4.8,1.79,4.8,1.72,249920,2282198593.46,-47.31,127.5,8.3,69.42
1,2009-11-09,1.97,2.45,3.01,1.97,93948,847712821.19,58.1,36.87,0.66,26.1
2,2009-11-10,2.67,2.05,2.79,1.99,62521,561930018.53,32.65,-16.33,-0.4,17.37
3,2009-11-11,1.87,3.09,4.09,1.87,72614,671044621.91,108.29,50.73,1.04,20.17
4,2009-11-12,3.05,3.31,3.76,3.01,40548,376684675.45,24.27,7.12,0.22,11.26
5,2009-11-13,3.24,3.69,4.1,3.16,41087,386918882.84,28.4,11.48,0.38,11.41
6,2009-11-16,4.17,4.91,4.95,3.85,50456,488403441.66,29.81,33.06,1.22,14.02
7,2009-11-17,5.01,4.71,5.03,4.3,33785,328963994.17,14.87,-4.07,-0.2,9.38
8,2009-11-18,4.69,4.79,5.05,4.41,22009,215025720.87,13.59,1.7,0.08,6.11
9,2009-11-19,4.8,5.13,5.37,4.69,31682,313311692.39,14.2,7.1,0.34,8.8
10,2009-11-20,5.13,6.91,7.71,4.9,35577,365693965.96,54.78,34.7,1.78,9.88
11,2009-11-23,6.92,7.83,7.94,6.88,29908,320477922.47,15.34,13.31,0.92,8.31
12,2009-11-24,7.76,6.76,8.27,6.52,44895,479832144.77,22.35,-13.67,-1.07,12.47
13,2009-11-25,7.03,9.5,9.88,6.88,51561,576696508.75,44.38,40.53,2.74,14.32
14,2009-11-26,9.51,8.04,10.15,7.92,44914,501746008.68,23.47,-15.37,-1.46,12.48
15,2009-11-27,7.43,8.37,8.96,7.24,35149,383374519.38,21.39,4.1,0.33,9.76
16,2009-11-30,8.81,9.89,10.3,8.17,34456,392333572.16,25.45,18.16,1.52,9.57
17,2009-12-01,9.83,9.91,10.39,9.47,26809,308752509.32,9.3,0.2,0.02,7.45
18,2009-12-02,9.97,10.39,10.45,9.57,23724,273827037.94,8.88,4.84,0.48,6.59
19,2009-12-03,10.42,10.72,11.86,10.18,24424,290245126.25,16.17,3.18,0.33,6.78
20,2009-12-04,10.33,9.23,10.82,8.07,45041,510935973.38,25.65,-13.9,-1.49,12.51
21,2009-12-07,9.86,9.67,10.24,9.41,18610,214126671.17,8.99,4.77,0.44,5.17
22,2009-12-08,9.73,8.99,9.82,8.37,16477,184204611.71,14.99,-7.03,-0.68,4.58
23,2009-12-09,8.82,8.58,9.11,8.43,10661,118423084.85,7.56,-4.56,-0.41,2.96
24,2009-12-10,8.75,9.32,9.41,8.75,10918,122852587.56,7.69,8.62,0.74,3.03
