,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2002-10-29,1.5,1.51,1.62,1.46,222827,275016713.0,-72.73,786.36,1.73,55.71
1,2002-10-30,1.5,1.42,1.5,1.37,92504,109442293.0,8.61,-5.96,-0.09,23.13
2,2002-10-31,1.4,1.42,1.47,1.4,43189,51462052.0,4.93,0.0,0.0,10.8
3,2002-11-01,1.42,1.38,1.43,1.35,29903,34908751.0,5.63,-2.82,-0.04,7.48
4,2002-11-04,1.37,1.46,1.47,1.37,28632,33975290.0,7.25,5.8,0.08,7.16
5,2002-11-05,1.46,1.71,1.72,1.44,205151,264171938.0,19.18,17.12,0.25,51.29
6,2002-11-06,1.67,1.65,1.71,1.63,112333,145465300.0,4.68,-3.51,-0.06,28.08
7,2002-11-07,1.63,1.63,1.67,1.61,47634,60966454.0,3.64,-1.21,-0.02,11.91
8,2002-11-08,1.68,1.5,1.69,1.48,57255,71957806.0,12.88,-7.98,-0.13,14.31
9,2002-11-11,1.54,1.53,1.58,1.48,31191,38445435.0,6.67,2.0,0.03,7.8
10,2002-11-12,1.54,1.48,1.56,1.43,36669,44561876.0,8.5,-3.27,-0.05,9.17
11,2002-11-13,1.5,1.52,1.54,1.45,34796,42518589.0,6.08,2.7,0.04,8.7
12,2002-11-14,1.52,1.49,1.58,1.47,35467,43622670.0,7.24,-1.97,-0.03,8.87
13,2002-11-15,1.47,1.52,1.57,1.46,26941,33162041.0,7.38,2.01,0.03,6.74
14,2002-11-18,1.52,1.48,1.53,1.46,16899,20462022.0,4.61,-2.63,-0.04,4.22
15,2002-11-19,1.48,1.49,1.51,1.4,22232,26654000.0,7.43,0.68,0.01,5.56
16,2002-11-20,1.45,1.39,1.47,1.38,19441,22897379.0,6.04,-6.71,-0.1,4.86
17,2002-11-21,1.39,1.38,1.41,1.37,15362,17940695.0,2.88,-0.72,-0.01,3.84
18,2002-11-22,1.39,1.37,1.43,1.31,22972,26829561.0,8.7,-0.72,-0.01,5.74
19,2002-11-25,1.34,1.33,1.37,1.31,8711,9955333.0,4.38,-2.92,-0.04,2.18
20,2002-11-26,1.34,1.19,1.35,1.19,21343,23555766.0,12.03,-10.53,-0.14,5.34
21,2002-11-27,1.16,1.16,1.18,1.09,18747,19766186.0,7.56,-2.52,-0.03,4.69
22,2002-11-28,1.14,1.25,1.26,1.12,18007,19509685.0,12.07,7.76,0.09,4.5
23,2002-11-29,1.23,1.26,1.31,1.21,35560,39493966.0,8.0,0.8,0.01,8.89
24,2002-12-02,1.24,1.13,1.24,1.13,13353,14364966.0,8.73,-10.32,-0.13,3.34
25,2002-12-03,1.13,1.18,1.19,1.12,9049,9627110.0,6.19,4.42,0.05,2.26
26,2002-12-04,1.18,1.2,1.28,1.16,18200,19928204.0,10.17,1.69,0.02,4.55
27,2002-12-05,1.19,1.2,1.21,1.16,8416,9073278.0,4.17,0.0,0.0,2.1
28,2002-12-06,1.2,1.19,1.22,1.18,5418,5858295.0,3.33,-0.83,-0.01,1.35
29,2002-12-09,1.18,1.17,1.21,1.16,5352,5748812.0,4.2,-1.68,-0.02,1.34
30,2002-12-10,1.17,1.13,1.2,1.12,8321,8843883.0,6.84,-3.42,-0.04,2.08
31,2002-12-11,1.12,1.14,1.14,1.11,6855,7181288.0,2.65,0.88,0.01,1.71
32,2002-12-12,1.14,1.13,1.19,1.12,6629,7027457.0,6.14,-0.88,-0.01,1.66
33,2002-12-13,1.11,1.16,1.17,1.09,10746,11282686.0,7.08,2.65,0.03,2.69
34,2002-12-16,1.16,1.18,1.2,1.15,7786,8349549.0,4.31,1.72,0.02,1.95
35,2002-12-17,1.18,1.19,1.2,1.16,5822,6261071.0,3.39,0.85,0.01,1.46
36,2002-12-18,1.21,1.18,1.22,1.18,10092,10922879.0,3.36,-0.84,-0.01,2.52
37,2002-12-19,1.18,1.17,1.19,1.15,4821,5140139.0,3.39,-0.85,-0.01,1.21
38,2002-12-20,1.16,1.2,1.21,1.16,5871,6335762.0,4.27,2.56,0.03,1.47
39,2002-12-23,1.21,1.19,1.21,1.19,7065,7671128.0,1.67,-0.83,-0.01,1.77
40,2002-12-24,1.2,1.22,1.23,1.18,4825,5235425.0,4.2,2.52,0.03,1.21
41,2002-12-25,1.22,1.19,1.23,1.19,10689,11632516.0,3.28,-2.46,-0.03,2.67
42,2002-12-26,1.18,1.1,1.21,1.1,12184,12934900.0,9.24,-7.56,-0.09,3.05
43,2002-12-27,1.09,1.08,1.12,1.06,9016,9299680.0,5.45,-1.82,-0.02,2.25
44,2002-12-31,1.01,0.95,1.04,0.94,14501,14408573.0,9.26,-12.04,-0.13,3.63
45,2003-01-02,0.93,0.88,0.97,0.87,9643,9186618.0,10.53,-7.37,-0.07,2.41
46,2003-01-03,0.89,0.9,0.92,0.87,6553,6193915.0,5.68,2.27,0.02,1.64
47,2003-01-06,0.9,0.92,0.94,0.87,5661,5385269.0,7.78,2.22,0.02,1.42
48,2003-01-07,0.91,0.93,0.99,0.9,10445,10096931.0,9.78,1.09,0.01,2.61
49,2003-01-08,0.93,1.02,1.03,0.92,13717,13495449.0,11.83,9.68,0.09,3.43
50,2003-01-09,1.02,1.05,1.06,1.0,21682,21872748.0,5.88,2.94,0.03,5.42
51,2003-01-10,1.05,1.0,1.06,1.0,12644,12742847.0,5.71,-4.76,-0.05,3.16
52,2003-01-13,0.99,0.99,1.02,0.98,7470,7394446.0,4.0,-1.0,-0.01,1.87
53,2003-01-14,0.99,1.14,1.19,0.98,27726,28872069.0,21.21,15.15,0.15,6.93
54,2003-01-15,1.16,1.11,1.18,1.09,23067,24376473.0,7.89,-2.63,-0.03,5.77
55,2003-01-16,1.11,1.2,1.26,1.11,31730,34350373.0,13.51,8.11,0.09,7.93
