,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1996-05-24,4.49,4.73,4.84,4.43,160584,150292000.0,10.12,16.79,0.68,48.66
1,1996-05-27,4.69,4.71,4.77,4.6,58005,54438000.0,3.59,-0.42,-0.02,17.58
2,1996-05-28,4.75,4.93,4.94,4.66,61682,60217000.0,5.94,4.67,0.22,18.69
3,1996-05-29,4.93,4.91,5.02,4.88,44097,45628000.0,2.84,-0.41,-0.02,13.36
4,1996-05-30,4.91,4.98,5.08,4.91,44876,47092000.0,3.46,1.43,0.07,13.6
5,1996-05-31,5.0,5.27,5.31,4.92,57764,64301000.0,7.83,5.82,0.29,17.5
6,1996-06-03,5.34,5.39,5.45,5.09,73131,84717000.0,6.83,2.28,0.12,22.16
7,1996-06-04,5.38,5.52,5.53,5.33,45898,54715000.0,3.71,2.41,0.13,13.91
8,1996-06-05,5.49,5.62,5.62,5.46,28565,35047000.0,2.9,1.81,0.1,8.66
9,1996-06-06,5.65,5.48,5.68,5.39,20226,24744000.0,5.16,-2.49,-0.14,6.13
10,1996-06-07,5.5,5.68,5.71,5.49,27275,34566000.0,4.01,3.65,0.2,8.27
11,1996-06-10,5.65,5.45,5.68,5.39,36529,45379000.0,5.11,-4.05,-0.23,11.07
12,1996-06-11,5.45,5.48,5.52,5.36,11778,14135000.0,2.94,0.55,0.03,3.57
13,1996-06-12,5.45,5.61,5.69,5.39,15423,19222000.0,5.47,2.37,0.13,4.67
14,1996-06-13,5.45,5.92,5.97,5.45,22579,29946000.0,9.27,5.53,0.31,6.84
15,1996-06-14,5.89,5.83,6.03,5.74,16479,22558000.0,4.9,-1.52,-0.09,4.99
16,1996-06-17,5.71,5.72,5.86,5.71,8651,11363000.0,2.57,-1.89,-0.11,2.62
17,1996-06-18,5.73,5.86,5.88,5.71,5163,6803000.0,2.97,2.45,0.14,1.56
18,1996-06-19,5.89,5.91,5.94,5.82,8808,11865000.0,2.05,0.85,0.05,2.67
19,1996-06-20,5.89,5.95,5.97,5.86,9735,13310000.0,1.86,0.68,0.04,2.95
20,1996-06-21,5.89,6.12,6.14,5.89,15383,21559240.0,4.2,2.86,0.17,4.66
21,1996-06-24,6.12,6.23,6.26,6.07,8412,12231000.0,3.1,1.8,0.11,2.55
22,1996-06-25,6.13,6.39,7.22,5.87,17833,27095000.0,21.67,2.57,0.16,5.4
23,1996-06-26,6.42,6.45,6.48,6.34,19989,30493000.0,2.19,0.94,0.06,6.06
24,1996-06-27,6.54,6.68,6.72,6.45,17680,28262000.0,4.19,3.57,0.23,5.36
25,1996-06-28,6.7,6.97,7.04,6.7,21115,35795000.0,5.09,4.34,0.29,6.4
26,1996-07-01,7.07,6.73,7.07,6.63,14377,23853000.0,6.31,-3.44,-0.24,4.36
27,1996-07-02,6.67,6.66,6.75,6.45,11841,18799000.0,4.46,-1.04,-0.07,3.59
28,1996-07-03,6.6,6.67,6.72,6.6,13611,21980000.0,1.8,0.15,0.01,4.12
29,1996-07-04,6.76,6.66,6.89,6.52,18811,30139000.0,5.55,-0.15,-0.01,5.7
30,1996-07-05,6.69,6.54,6.81,6.51,19520,30807000.0,4.5,-1.8,-0.12,5.92
31,1996-07-08,6.54,6.42,6.57,6.38,9491,14690000.0,2.91,-1.83,-0.12,2.88
32,1996-07-09,6.45,6.86,6.86,6.36,14796,23859000.0,7.79,6.85,0.44,4.48
33,1996-07-10,6.86,6.86,7.07,6.73,13739,23276000.0,4.96,0.0,0.0,4.16
34,1996-07-11,6.87,6.6,6.87,6.57,10266,16674000.0,4.37,-3.79,-0.26,3.11
35,1996-07-12,6.54,6.65,6.66,6.42,5464,8651000.0,3.64,0.76,0.05,1.66
36,1996-07-15,6.6,6.54,6.63,6.48,4668,7386000.0,2.26,-1.65,-0.11,1.41
37,1996-07-16,6.49,6.62,6.67,6.49,18610,29733000.0,2.75,1.22,0.08,5.64
38,1996-07-17,6.67,6.63,6.88,6.45,19879,32722000.0,6.5,0.15,0.01,6.02
39,1996-07-18,6.65,6.72,6.84,6.65,11018,18118000.0,2.87,1.36,0.09,3.34
40,1996-07-19,6.78,6.66,6.78,6.6,5719,9176000.0,2.68,-0.89,-0.06,1.73
41,1996-07-22,6.69,6.63,6.72,6.51,6157,9727000.0,3.15,-0.45,-0.03,1.87
42,1996-07-23,6.69,6.56,6.69,6.52,5933,9345000.0,2.56,-1.06,-0.07,1.8
43,1996-07-24,6.59,6.54,6.65,6.5,11059,17482000.0,2.29,-0.3,-0.02,3.35
44,1996-07-25,6.59,6.49,6.76,6.45,15432,24470000.0,4.74,-0.76,-0.05,4.68
45,1996-07-26,6.57,6.47,6.59,6.46,6380,9968000.0,2.0,-0.31,-0.02,1.93
46,1996-07-29,6.45,6.42,6.54,6.39,6166,9433000.0,2.32,-0.77,-0.05,1.87
47,1996-07-30,6.42,6.19,6.54,6.15,8411,12498000.0,6.07,-3.58,-0.23,2.55
48,1996-07-31,6.19,6.01,6.32,5.94,8658,12131000.0,6.14,-2.91,-0.18,2.62
49,1996-08-01,6.01,6.03,6.09,5.91,10074,14000000.0,3.0,0.33,0.02,3.05
50,1996-08-02,6.09,6.0,6.13,5.95,3716,5204000.0,2.99,-0.5,-0.03,1.13
51,1996-08-05,6.01,6.24,6.27,6.01,4995,7192000.0,4.33,4.0,0.24,1.51
52,1996-08-06,6.23,6.22,6.28,6.09,5442,7950000.0,3.04,-0.32,-0.02,1.65
53,1996-08-07,6.24,6.26,6.36,6.19,5738,8526000.0,2.73,0.64,0.04,1.74
54,1996-08-08,6.24,6.45,6.45,6.23,14458,21948000.0,3.51,3.04,0.19,4.38
55,1996-08-09,6.42,6.65,6.67,6.42,28658,45682000.0,3.88,3.1,0.2,8.68
56,1996-08-12,6.74,6.58,6.77,6.58,18810,30237000.0,2.86,-1.05,-0.07,5.7
57,1996-08-13,6.58,6.76,6.81,6.58,29288,47600000.0,3.5,2.74,0.18,8.88
58,1996-08-14,6.72,6.62,6.77,6.62,13511,21850000.0,2.22,-2.07,-0.14,4.09
59,1996-08-15,6.78,6.48,6.78,6.47,12596,20543000.0,4.68,-2.11,-0.14,3.82
60,1996-08-16,6.57,6.45,6.62,6.3,12896,19514000.0,4.94,-0.46,-0.03,3.91
61,1996-08-19,6.2,6.33,6.39,6.2,2620,3942000.0,2.95,-1.86,-0.12,0.79
62,1996-08-20,6.33,6.3,6.38,6.25,2711,4053000.0,2.05,-0.47,-0.03,0.82
63,1996-08-21,6.36,6.54,6.54,6.36,17045,26418000.0,2.86,3.81,0.24,5.17
64,1996-08-22,6.59,6.38,6.59,6.34,18269,28396000.0,3.82,-2.45,-0.16,5.54
65,1996-08-23,6.38,6.46,6.49,6.28,16135,24434000.0,3.29,1.25,0.08,4.89
66,1996-08-26,6.56,6.41,6.69,6.41,26070,41391000.0,4.33,-0.77,-0.05,7.9
67,1996-08-27,6.41,6.78,6.79,6.41,32728,53036000.0,5.93,5.77,0.37,9.92
68,1996-08-28,6.81,6.79,6.94,6.79,45309,76312000.0,2.21,0.15,0.01,13.73
69,1996-08-29,6.84,6.86,6.92,6.76,15585,26117000.0,2.36,1.03,0.07,4.72
70,1996-08-30,6.89,6.84,6.91,6.71,28277,47040000.0,2.92,-0.29,-0.02,8.57
71,1996-09-02,6.88,7.04,7.06,6.84,38027,65200000.0,3.22,2.92,0.2,11.52
72,1996-09-03,7.07,7.25,7.28,7.01,64331,115107000.0,3.84,2.98,0.21,19.49
73,1996-09-04,7.28,7.8,7.83,7.28,35080,67724000.0,7.59,7.59,0.55,10.63
74,1996-09-05,7.84,7.87,8.02,7.67,35867,72435000.0,4.49,0.9,0.07,10.87
75,1996-09-06,7.82,7.86,8.05,7.79,16159,33066000.0,3.3,-0.13,-0.01,4.9
76,1996-09-09,7.92,7.95,8.0,7.82,13982,28555000.0,2.29,1.15,0.09,4.24
77,1996-09-10,7.87,7.52,8.05,7.46,24182,48213000.0,7.42,-5.41,-0.43,7.33
78,1996-09-11,7.46,7.65,7.65,7.16,21884,41099000.0,6.52,1.73,0.13,6.63
