,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2001-08-27,-133.32,-133.11,-132.67,-133.65,406318,1410347000.0,-0.73,0.62,0.83,56.83
1,2001-08-28,-133.22,-132.85,-132.82,-133.3,129647,463463000.0,-0.36,0.2,0.26,18.13
2,2001-08-29,-132.83,-132.95,-132.82,-133.0,53252,194689000.0,-0.14,-0.08,-0.1,7.45
3,2001-08-30,-132.97,-132.8,-132.72,-133.02,48013,177558000.0,-0.23,0.11,0.15,6.72
4,2001-08-31,-132.79,-132.82,-132.7,-132.86,23231,86231000.0,-0.12,-0.02,-0.02,3.25
5,2001-09-03,-132.78,-132.83,-132.71,-132.85,22112,82129000.0,-0.11,-0.01,-0.01,3.09
6,2001-09-04,-132.82,-132.73,-132.61,-132.85,37006,139204000.0,-0.18,0.08,0.1,5.18
7,2001-09-05,-132.7,-132.74,-132.64,-132.78,26066,97796000.0,-0.11,-0.01,-0.01,3.65
8,2001-09-06,-132.75,-132.88,-132.73,-132.92,28997,107078000.0,-0.14,-0.11,-0.14,4.06
9,2001-09-07,-132.92,-133.09,-132.83,-133.09,31552,113868000.0,-0.2,-0.16,-0.21,4.41
10,2001-09-10,-133.14,-132.88,-132.85,-133.22,18878,68406000.0,-0.28,0.16,0.21,2.64
11,2001-09-11,-132.86,-132.97,-132.83,-132.98,11390,41579000.0,-0.11,-0.07,-0.09,1.59
12,2001-09-12,-133.16,-133.03,-132.98,-133.16,25045,89421000.0,-0.14,-0.05,-0.06,3.5
13,2001-09-13,-133.02,-133.05,-132.96,-133.08,10986,39512000.0,-0.09,-0.02,-0.02,1.54
14,2001-09-14,-133.02,-132.96,-132.92,-133.06,7672,27740000.0,-0.11,0.07,0.09,1.07
15,2001-09-17,-133.01,-133.06,-132.97,-133.12,8983,32183000.0,-0.11,-0.08,-0.1,1.26
16,2001-09-18,-133.05,-132.97,-132.91,-133.05,10773,39006000.0,-0.11,0.07,0.09,1.51
17,2001-09-19,-132.96,-132.84,-132.84,-133.01,8650,31597000.0,-0.13,0.1,0.13,1.21
18,2001-09-20,-132.84,-132.9,-132.81,-132.92,11173,41189000.0,-0.08,-0.05,-0.06,1.56
19,2001-09-21,-132.97,-133.01,-132.9,-133.02,7879,28638000.0,-0.09,-0.08,-0.11,1.1
20,2001-09-24,-133.01,-133.01,-132.95,-133.02,4068,14703000.0,-0.05,0.0,0.0,0.57
21,2001-09-25,-132.97,-132.98,-132.92,-133.01,3488,12639000.0,-0.07,0.02,0.03,0.49
22,2001-09-26,-133.0,-133.01,-132.93,-133.02,4956,17892000.0,-0.07,-0.02,-0.03,0.69
23,2001-09-27,-133.01,-132.88,-132.83,-133.02,8778,32085000.0,-0.14,0.1,0.13,1.23
24,2001-09-28,-132.84,-132.81,-132.78,-132.92,17088,63169000.0,-0.11,0.05,0.07,2.39
25,2001-10-08,-132.82,-132.91,-132.79,-132.97,6552,24091000.0,-0.14,-0.08,-0.1,0.92
26,2001-10-09,-132.9,-132.76,-132.73,-132.9,9558,35498000.0,-0.13,0.11,0.15,1.34
27,2001-10-10,-132.76,-133.0,-132.74,-133.02,17548,63956000.0,-0.21,-0.18,-0.24,2.45
28,2001-10-11,-133.02,-133.07,-132.92,-133.09,12306,44319000.0,-0.13,-0.05,-0.07,1.72
29,2001-10-12,-133.04,-133.02,-132.89,-133.41,20010,70897000.0,-0.39,0.04,0.05,2.8
30,2001-10-15,-133.04,-133.16,-133.02,-133.24,9755,34501000.0,-0.17,-0.11,-0.14,1.36
31,2001-10-16,-133.2,-133.26,-133.06,-133.27,8319,29068000.0,-0.16,-0.08,-0.1,1.16
32,2001-10-17,-133.26,-133.38,-133.26,-133.44,12507,42766000.0,-0.14,-0.09,-0.12,1.75
33,2001-10-18,-133.38,-133.41,-133.29,-133.44,4983,16999000.0,-0.11,-0.02,-0.03,0.7
34,2001-10-19,-133.42,-133.52,-133.39,-133.62,15687,52422000.0,-0.17,-0.08,-0.11,2.19
35,2001-10-22,-133.56,-133.66,-133.48,-133.68,9760,32268000.0,-0.15,-0.1,-0.14,1.37
36,2001-10-23,-133.02,-133.01,-133.01,-133.22,40598,145710000.0,-0.16,0.49,0.65,5.68
37,2001-10-24,-132.87,-133.05,-132.86,-133.2,40682,147001000.0,-0.26,-0.03,-0.04,5.69
38,2001-10-25,-133.08,-133.25,-133.06,-133.25,16036,56527000.0,-0.14,-0.15,-0.2,2.24
39,2001-10-26,-133.28,-133.22,-133.2,-133.34,9002,31280000.0,-0.11,0.02,0.03,1.26
40,2001-10-29,-133.25,-133.16,-133.1,-133.25,4587,16205000.0,-0.11,0.05,0.06,0.64
41,2001-10-30,-133.17,-133.22,-133.13,-133.24,3484,12214000.0,-0.08,-0.05,-0.06,0.49
42,2001-10-31,-133.22,-133.21,-133.2,-133.26,4762,16633000.0,-0.05,0.01,0.01,0.67
43,2001-11-01,-133.21,-133.11,-133.1,-133.23,6643,23511000.0,-0.1,0.08,0.1,0.93
44,2001-11-02,-133.17,-133.15,-133.08,-133.19,3435,12189000.0,-0.08,-0.03,-0.04,0.48
45,2001-11-05,-133.22,-133.24,-133.17,-133.28,3690,12879000.0,-0.08,-0.07,-0.09,0.52
46,2001-11-06,-133.26,-133.19,-133.16,-133.28,2609,9138000.0,-0.09,0.04,0.05,0.36
47,2001-11-07,-133.22,-133.45,-133.22,-133.46,9325,31791000.0,-0.18,-0.2,-0.26,1.3
48,2001-11-08,-133.55,-133.48,-133.44,-133.62,7402,24682000.0,-0.13,-0.02,-0.03,1.04
49,2001-11-09,-133.48,-133.39,-133.33,-133.55,3760,12737000.0,-0.16,0.07,0.09,0.53
50,2001-11-12,-133.34,-133.5,-133.34,-133.52,2683,9088000.0,-0.13,-0.08,-0.11,0.38
51,2001-11-13,-133.56,-133.49,-133.48,-133.58,2673,8965000.0,-0.07,0.01,0.01,0.37
