,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-05-28,8.96,11.79,11.79,8.96,332,555578.0,42.88,78.64,5.19,0.04
1,2015-05-29,13.49,13.49,13.49,13.49,167,312572.0,0.0,14.42,1.7,0.02
2,2015-06-01,15.36,15.36,15.36,15.36,129,265224.0,0.0,13.86,1.87,0.02
3,2015-06-02,17.42,17.42,17.42,17.42,172,389946.0,0.0,13.41,2.06,0.02
4,2015-06-03,19.68,19.68,19.68,19.68,245,609560.0,0.0,12.97,2.26,0.03
5,2015-06-04,22.17,22.17,22.17,22.17,496,1357552.0,0.0,12.65,2.49,0.06
6,2015-06-05,24.91,24.91,24.91,24.91,464,1397104.0,0.0,12.36,2.74,0.06
7,2015-06-08,27.92,27.92,27.92,27.92,718,2378016.0,0.0,12.08,3.01,0.09
8,2015-06-09,31.23,31.23,31.23,31.23,3371,12279460.0,0.0,11.86,3.31,0.42
9,2015-06-10,34.8,34.87,34.87,29.8,251040,984860976.0,16.23,11.66,3.64,31.38
10,2015-06-11,38.88,38.88,38.88,38.88,32489,143212394.0,0.0,11.5,4.01,4.06
11,2015-06-12,43.29,43.29,43.29,41.52,141356,684758880.0,4.55,11.34,4.41,17.67
12,2015-06-15,42.8,44.31,48.14,39.51,439668,2230328304.0,19.94,2.36,1.02,54.96
13,2015-06-16,39.36,39.36,39.36,39.36,35974,160300144.0,0.0,-11.17,-4.95,4.5
14,2015-06-17,34.9,38.56,43.0,34.9,217258,915345264.0,20.58,-2.03,-0.8,27.16
15,2015-06-18,35.8,34.18,37.8,34.18,204252,819690416.0,9.39,-11.36,-4.38,25.53
16,2015-06-19,31.2,30.24,32.05,30.24,143959,514187920.0,5.3,-11.53,-3.94,17.99
17,2015-06-23,28.45,29.15,30.45,27.0,152494,518385520.0,11.41,-3.6,-1.09,19.06
18,2015-06-24,30.3,30.09,31.32,29.17,158370,560835776.0,7.38,3.22,0.94,19.8
19,2015-06-25,29.6,26.62,29.67,26.56,164100,543618144.0,10.34,-11.53,-3.47,20.51
20,2015-06-26,25.46,23.44,25.46,23.44,114587,334958240.0,7.59,-11.95,-3.18,14.32
21,2015-06-29,23.82,20.58,24.18,20.58,141172,381464848.0,15.36,-12.2,-2.86,17.65
22,2015-06-30,20.05,23.16,23.16,18.19,174339,455419408.0,24.15,12.54,2.58,21.79
23,2015-07-01,22.8,23.54,25.8,21.9,215749,639161984.0,16.84,1.64,0.38,26.97
24,2015-07-02,23.8,22.92,25.0,21.3,155074,446143440.0,15.72,-2.63,-0.62,19.38
25,2015-07-03,21.38,21.02,24.3,20.11,132689,358196208.0,18.28,-8.29,-1.9,16.59
26,2015-07-06,23.64,22.13,23.64,19.8,138919,379405184.0,18.27,5.28,1.11,17.36
27,2015-07-07,20.8,19.4,22.1,19.4,77409,196608700.0,12.2,-12.34,-2.73,9.68
28,2015-07-08,16.94,16.94,16.94,16.94,10974,24296436.0,0.0,-12.68,-2.46,1.37
29,2015-07-09,14.73,19.15,19.15,14.73,145478,331609680.0,26.09,13.05,2.21,18.18
30,2015-07-10,19.8,21.59,21.59,19.4,113868,301097808.0,11.44,12.74,2.44,14.23
31,2015-07-13,23.38,24.27,24.27,22.19,166072,477767360.0,9.63,12.41,2.68,20.76
32,2015-07-14,23.6,23.81,26.27,22.6,227343,677260768.0,15.12,-1.9,-0.46,28.42
33,2015-07-15,22.6,20.91,23.28,20.91,123317,329105616.0,9.95,-12.18,-2.9,15.41
34,2015-07-16,18.68,20.24,21.92,18.68,88386,226474203.0,15.49,-3.2,-0.67,11.05
35,2015-07-17,20.25,21.64,22.15,20.2,87729,231766181.0,9.63,6.92,1.4,10.97
36,2015-07-20,21.69,21.09,22.29,20.58,102015,270710080.0,7.9,-2.54,-0.55,12.75
37,2015-07-21,20.71,21.77,22.09,19.87,91507,241812943.0,10.53,3.22,0.68,11.44
38,2015-07-22,22.3,23.06,23.3,21.9,142205,398270272.0,6.43,5.93,1.29,17.78
39,2015-07-23,22.6,25.88,25.89,22.6,209505,623629792.0,14.27,12.23,2.82,26.19
40,2015-07-24,26.14,26.39,28.38,24.61,235008,743765824.0,14.57,1.97,0.51,29.38
41,2015-07-27,25.0,27.29,28.3,23.64,206596,655715472.0,17.66,3.41,0.9,25.82
42,2015-07-28,25.7,27.9,29.59,24.27,279426,912802048.0,19.49,2.24,0.61,34.93
43,2015-07-29,27.82,30.8,30.85,25.68,301666,1011911920.0,18.53,10.39,2.9,37.71
44,2015-07-30,29.85,29.33,32.7,29.0,286932,1039752288.0,12.01,-4.77,-1.47,35.87
45,2015-07-31,27.5,28.04,30.8,26.8,210508,710670208.0,13.64,-4.4,-1.29,26.31
46,2015-08-03,27.04,25.77,29.1,24.8,165268,534840224.0,15.34,-8.1,-2.27,20.66
47,2015-08-04,26.11,28.52,28.68,23.83,197327,617326640.0,18.82,10.67,2.75,24.67
48,2015-08-05,27.6,28.85,30.3,27.3,210710,715718512.0,10.52,1.16,0.33,26.34
49,2015-08-06,27.83,27.02,28.48,26.6,111912,367347472.0,6.52,-6.34,-1.83,13.99
50,2015-08-07,27.19,28.5,29.7,26.45,160704,532038528.0,12.03,5.48,1.48,20.09
51,2015-08-10,28.75,30.82,31.2,28.35,156914,540928912.0,10.0,8.14,2.32,19.61
52,2015-08-11,31.2,32.14,33.78,30.79,218639,813850000.0,9.7,4.28,1.32,27.33
53,2015-08-12,31.31,34.19,35.55,31.18,312350,1203728512.0,13.6,6.38,2.05,39.04
54,2015-08-13,33.7,36.01,36.23,32.19,205361,793979056.0,11.82,5.32,1.82,25.67
55,2015-08-14,35.35,34.2,35.84,34.1,115020,457132992.0,4.83,-5.03,-1.81,14.38
56,2015-08-17,33.7,33.73,35.19,32.01,126365,478750512.0,9.3,-1.37,-0.47,15.8
57,2015-08-18,33.2,30.9,33.46,29.88,105623,384569872.0,10.61,-8.39,-2.83,13.2
58,2015-08-19,29.6,31.15,32.11,27.56,83433,291642128.0,14.72,0.81,0.25,10.43
59,2015-08-20,31.8,33.3,33.69,30.6,223720,840588272.0,9.92,6.9,2.15,27.96
60,2015-08-21,32.2,30.9,33.2,29.7,99119,359223168.0,10.51,-7.21,-2.4,12.39
61,2015-08-24,29.2,27.46,30.7,27.33,98284,319799824.0,10.91,-11.13,-3.44,12.29
62,2015-08-25,28.18,25.58,28.18,24.23,126787,384282672.0,14.38,-6.85,-1.88,15.85
63,2015-08-26,25.8,27.36,28.17,24.78,124855,395544544.0,13.25,6.96,1.78,15.61
64,2015-08-27,27.42,28.47,28.8,25.8,84395,274129056.0,10.96,4.06,1.11,10.55
65,2015-08-28,28.77,31.8,31.8,27.85,105222,364295088.0,13.87,11.7,3.33,13.15
66,2015-08-31,32.8,35.46,35.46,32.0,161296,626488448.0,10.88,11.51,3.66,20.16
67,2015-09-01,34.22,32.56,36.28,32.4,147659,579035936.0,10.94,-8.18,-2.9,18.46
68,2015-09-02,32.4,33.99,35.65,28.82,208249,763216640.0,20.98,4.39,1.43,26.03
69,2015-09-07,33.2,34.72,36.3,32.57,263019,1042395568.0,10.97,2.15,0.73,32.88
70,2015-09-08,34.72,36.13,36.25,33.15,331170,1324124176.0,8.93,4.06,1.41,41.4
71,2015-09-09,35.2,36.79,38.58,33.72,298609,1219585024.0,13.45,1.83,0.66,37.33
72,2015-09-10,35.2,38.37,39.2,34.67,246648,1034752576.0,12.31,4.29,1.58,30.83
73,2015-09-11,38.93,36.57,38.93,36.2,152757,641234816.0,7.11,-4.69,-1.8,19.09
