,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1997-07-18,11.02,14.86,15.31,11.02,285181,857339712.0,128.83,346.25,11.53,57.61
1,1997-07-21,14.85,14.82,15.38,14.35,73065,223210832.0,6.93,-0.27,-0.04,14.76
2,1997-07-22,14.75,15.22,15.79,14.66,73876,232046224.0,7.62,2.7,0.4,14.92
3,1997-07-23,15.41,14.76,15.52,14.63,43810,135510800.0,5.85,-3.02,-0.46,8.85
4,1997-07-24,14.82,14.07,14.97,13.94,39972,118610808.0,6.98,-4.67,-0.69,8.08
5,1997-07-25,13.95,13.83,14.25,13.73,28650,82093128.0,3.7,-1.71,-0.24,5.79
6,1997-07-28,13.88,13.86,14.41,13.58,18212,52801456.0,6.0,0.22,0.03,3.68
7,1997-07-29,13.89,13.88,14.2,13.68,13223,38035124.0,3.75,0.14,0.02,2.67
8,1997-07-30,14.0,14.22,14.33,13.8,13982,40538644.0,3.82,2.45,0.34,2.82
9,1997-07-31,14.3,14.42,14.48,14.01,17451,51271708.0,3.31,1.41,0.2,3.53
10,1997-08-01,14.45,14.17,14.55,14.15,9167,27043036.0,2.77,-1.73,-0.25,1.85
11,1997-08-04,14.2,13.84,14.34,13.74,12847,36825724.0,4.23,-2.33,-0.33,2.6
12,1997-08-05,13.79,13.94,14.15,13.6,13850,39437568.0,3.97,0.72,0.1,2.8
13,1997-08-06,13.89,13.26,14.0,13.17,16208,45391844.0,5.95,-4.88,-0.68,3.27
14,1997-08-07,13.21,13.07,13.22,12.66,18331,48826904.0,4.22,-1.43,-0.19,3.7
15,1997-08-08,13.17,12.94,13.58,12.91,14161,38720816.0,5.13,-0.99,-0.13,2.86
16,1997-08-11,12.94,12.36,12.94,12.33,16365,42533192.0,4.71,-4.48,-0.58,3.31
17,1997-08-12,12.15,11.95,12.5,11.87,12943,33017562.0,5.1,-3.32,-0.41,2.61
18,1997-08-13,11.98,11.53,12.2,11.43,11136,27297194.0,6.44,-3.51,-0.42,2.25
19,1997-08-14,11.58,12.46,12.6,11.58,15446,38855324.0,8.85,8.07,0.93,3.12
20,1997-08-15,12.46,12.06,12.46,11.91,8959,22466266.0,4.41,-3.21,-0.4,1.81
21,1997-08-18,12.05,12.1,12.29,11.54,5864,14531428.0,6.22,0.33,0.04,1.18
22,1997-08-19,12.12,11.96,12.21,11.84,7700,19205648.0,3.06,-1.16,-0.14,1.56
23,1997-08-20,12.05,11.73,12.17,11.57,4536,11294164.0,5.02,-1.92,-0.23,0.92
24,1997-08-21,11.84,12.22,12.28,11.73,8286,20751460.0,4.69,4.18,0.49,1.67
25,1997-08-22,12.2,12.5,12.66,12.05,9422,24396548.0,4.99,2.29,0.28,1.9
26,1997-08-25,12.64,12.48,12.82,12.46,8756,22813750.0,2.88,-0.16,-0.02,1.77
27,1997-08-26,13.78,12.96,13.78,12.26,23176,62335356.0,12.18,3.85,0.48,4.68
28,1997-08-27,13.17,12.82,13.17,12.78,12650,33753432.0,3.01,-1.08,-0.14,2.56
29,1997-08-28,12.87,12.64,12.87,12.55,7134,18782668.0,2.5,-1.4,-0.18,1.44
30,1997-08-29,12.69,12.46,12.75,12.46,7593,19732412.0,2.29,-1.42,-0.18,1.53
31,1997-09-01,12.56,12.48,12.73,12.43,6950,17985968.0,2.41,0.16,0.02,1.4
32,1997-09-02,12.46,12.82,12.96,12.46,7067,18649694.0,4.01,2.72,0.34,1.43
33,1997-09-03,12.97,13.08,13.16,12.84,5568,14944368.0,2.5,2.03,0.26,1.12
34,1997-09-04,13.08,12.92,13.13,12.91,5602,15068030.0,1.68,-1.22,-0.16,1.13
35,1997-09-05,12.92,12.85,13.02,12.81,3772,10049076.0,1.63,-0.54,-0.07,0.76
36,1997-09-08,12.88,12.69,12.9,12.46,5594,14612941.0,3.42,-1.25,-0.16,1.13
37,1997-09-09,12.66,12.51,12.66,12.46,3640,9450440.0,1.58,-1.42,-0.18,0.74
38,1997-09-10,12.46,12.55,12.56,12.3,4367,11249865.0,2.08,0.32,0.04,0.88
39,1997-09-11,12.55,12.66,12.98,12.41,5997,15831386.0,4.54,0.88,0.11,1.21
40,1997-09-12,12.57,12.31,12.71,12.3,2488,6423108.0,3.24,-2.76,-0.35,0.5
41,1997-09-15,12.33,12.28,12.51,12.28,2752,7036026.0,1.87,-0.24,-0.03,0.56
42,1997-09-16,12.24,12.32,12.35,12.24,2226,5678564.0,0.9,0.33,0.04,0.45
43,1997-09-17,12.56,12.2,12.56,12.15,3387,8620068.0,3.33,-0.97,-0.12,0.68
44,1997-09-18,12.1,12.02,12.32,12.0,4419,11179512.0,2.62,-1.48,-0.18,0.89
45,1997-09-19,12.2,12.34,12.45,12.05,6043,15330218.0,3.33,2.66,0.32,1.22
46,1997-09-22,12.46,11.78,12.53,11.74,5288,13178557.0,6.4,-4.54,-0.56,1.07
47,1997-09-23,11.8,11.1,11.84,10.92,5948,14222260.0,7.81,-5.77,-0.68,1.2
48,1997-09-24,11.2,11.63,11.79,11.2,7994,19239526.0,5.32,4.77,0.53,1.61
