,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2016-03-10,6.61,8.16,8.16,6.61,594,932652.0,29.19,53.67,2.85,0.08
1,2016-03-11,9.1,9.1,9.1,9.1,471,816243.0,0.0,11.52,0.94,0.07
2,2016-03-14,10.12,10.12,10.12,10.12,686,1307993.0,0.0,11.21,1.02,0.1
3,2016-03-15,11.25,11.25,11.25,11.25,2657,5571729.0,0.0,11.17,1.13,0.38
4,2016-03-16,12.49,12.49,12.49,12.49,2730,6299010.0,0.0,11.02,1.24,0.39
5,2016-03-17,13.86,13.86,13.86,13.86,2463,6251145.0,0.0,10.97,1.37,0.35
6,2016-03-18,15.36,15.36,15.36,15.36,4345,12131324.0,0.0,10.82,1.5,0.62
7,2016-03-21,16.3,16.24,16.95,14.86,415741,1186255792.0,13.61,5.73,0.88,59.39
8,2016-03-22,15.41,15.27,15.79,15.15,240458,676102720.0,3.94,-5.97,-0.97,34.35
9,2016-03-23,15.04,14.88,15.17,14.53,172250,465730256.0,4.19,-2.55,-0.39,24.61
10,2016-03-24,14.7,15.2,16.01,14.6,209778,588377664.0,9.48,2.15,0.32,29.97
11,2016-03-25,14.78,14.9,15.1,14.7,106568,287838256.0,2.63,-1.97,-0.3,15.22
12,2016-03-28,14.91,14.75,15.21,14.65,96685,262807191.0,3.76,-1.01,-0.15,13.81
13,2016-03-29,14.76,13.84,14.83,13.63,115756,298662688.0,8.14,-6.17,-0.91,16.54
14,2016-03-30,13.96,14.15,14.17,13.86,86556,222277432.0,2.24,2.24,0.31,12.37
15,2016-03-31,14.15,13.94,14.15,13.87,80110,205213337.0,1.98,-1.48,-0.21,11.44
16,2016-04-01,13.92,14.02,14.08,13.81,57259,146398033.0,1.94,0.57,0.08,8.18
17,2016-04-05,13.94,14.13,14.17,13.81,82832,212675369.0,2.57,0.78,0.11,11.83
18,2016-04-06,14.11,14.11,14.21,14.0,70058,180742865.0,1.49,-0.14,-0.02,10.01
19,2016-04-07,14.14,13.91,14.31,13.88,86753,224112959.0,3.05,-1.42,-0.2,12.39
20,2016-04-08,13.69,13.53,13.78,13.4,73196,181679109.0,2.73,-2.73,-0.38,10.46
21,2016-04-11,13.63,14.27,14.28,13.63,95552,244492934.0,4.8,5.47,0.74,13.65
22,2016-04-12,14.22,14.3,14.52,14.04,103750,270932000.0,3.36,0.21,0.03,14.82
23,2016-04-13,14.35,14.29,14.56,14.27,96922,254823199.0,2.03,-0.07,-0.01,13.85
24,2016-04-14,14.34,15.33,15.7,14.11,202523,549753088.0,11.13,7.28,1.04,28.93
25,2016-04-15,14.99,14.87,15.39,14.82,129384,353805712.0,3.72,-3.0,-0.46,18.48
26,2016-04-18,14.64,14.24,14.64,14.23,73523,192585190.0,2.76,-4.24,-0.63,10.5
27,2016-04-19,14.42,14.33,14.54,14.18,51266,134252918.0,2.53,0.63,0.09,7.32
28,2016-04-20,14.4,13.53,14.5,13.04,90158,227540076.0,10.19,-5.58,-0.8,12.88
29,2016-04-21,13.4,13.3,13.63,13.26,50549,124828753.0,2.73,-1.7,-0.23,7.22
30,2016-04-22,13.43,13.66,13.81,13.28,49085,122638842.0,3.98,2.71,0.36,7.01
31,2016-04-25,13.63,13.98,14.22,13.34,59663,150648233.0,6.44,2.34,0.32,8.52
32,2016-04-26,13.99,14.01,14.11,13.75,49540,126331471.0,2.58,0.21,0.03,7.08
33,2016-04-27,13.95,14.22,14.46,13.95,77959,202914373.0,3.64,1.5,0.21,11.14
34,2016-04-28,14.17,14.13,14.33,13.63,72471,186715633.0,4.92,-0.63,-0.09,10.35
35,2016-04-29,14.02,14.27,14.51,14.0,70946,185622353.0,3.61,0.99,0.14,10.14
36,2016-05-03,14.15,15.4,15.76,13.93,185246,513575344.0,12.82,7.92,1.13,26.46
37,2016-05-04,15.23,15.64,16.58,15.11,250153,721909376.0,9.55,1.56,0.24,35.74
38,2016-05-05,15.42,16.01,16.26,15.29,171061,489362656.0,6.2,2.37,0.37,24.44
39,2016-05-06,15.94,15.06,16.2,14.99,144397,408330192.0,7.56,-5.93,-0.95,20.63
40,2016-05-09,14.99,15.39,15.59,14.94,140681,392027280.0,4.32,2.19,0.33,20.1
41,2016-05-10,15.36,16.59,16.89,14.99,265048,777013008.0,12.35,7.8,1.2,37.86
42,2016-05-11,16.47,16.3,17.66,16.18,301063,921916512.0,8.92,-1.75,-0.29,43.01
43,2016-05-12,15.55,15.15,15.71,14.55,179646,497018592.0,7.12,-7.06,-1.15,25.66
44,2016-05-13,15.22,15.36,15.93,15.01,131563,370669712.0,6.07,1.39,0.21,18.79
45,2016-05-16,15.2,15.54,15.63,14.7,112789,311195728.0,6.05,1.17,0.18,16.11
46,2016-05-17,15.41,15.23,15.96,15.21,118842,336581888.0,4.83,-1.99,-0.31,16.98
47,2016-05-18,14.91,14.38,15.34,13.99,109917,296292288.0,8.86,-5.58,-0.85,15.7
48,2016-05-19,14.32,14.35,14.64,14.17,82358,216976348.0,3.27,-0.21,-0.03,11.77
49,2016-05-20,14.18,14.57,14.63,14.11,79999,210674945.0,3.62,1.53,0.22,11.43
50,2016-05-23,14.64,15.09,15.16,14.52,93402,253482779.0,4.39,3.57,0.52,13.34
51,2016-05-24,14.95,14.55,15.01,14.34,75118,200779962.0,4.44,-3.58,-0.54,10.73
52,2016-05-25,14.7,14.69,14.97,14.54,78282,211012821.0,2.96,0.96,0.14,11.18
53,2016-05-26,14.59,14.65,14.77,14.08,67535,177450098.0,4.7,-0.27,-0.04,9.65
54,2016-05-27,14.58,14.85,15.03,14.52,88928,240986595.0,3.48,1.37,0.2,12.7
55,2016-05-30,14.63,14.59,14.79,14.26,64427,170468119.0,3.57,-1.75,-0.26,9.2
56,2016-05-31,14.56,15.26,15.33,14.47,114599,314092000.0,5.89,4.59,0.67,16.37
57,2016-06-01,15.32,15.56,15.85,15.18,126335,357362656.0,4.39,1.97,0.3,18.05
58,2016-06-02,15.53,16.82,17.18,15.44,194352,572151648.0,11.18,8.1,1.26,27.76
59,2016-06-03,16.6,17.13,18.52,16.48,253500,799765472.0,12.13,1.84,0.31,36.21
60,2016-07-05,18.95,18.95,18.95,18.3,116736,395097776.0,3.79,10.62,1.82,16.68
61,2016-07-06,19.55,20.97,20.97,19.43,227671,831002720.0,8.13,10.66,2.02,32.52
62,2016-07-07,22.49,22.03,22.99,21.5,262330,1036063936.0,7.11,5.05,1.06,37.48
63,2016-07-08,22.11,23.79,24.35,21.69,245964,1007851344.0,12.07,7.99,1.76,35.14
64,2016-07-11,23.21,23.53,25.28,21.95,281596,1165450080.0,14.0,-1.09,-0.26,40.23
65,2016-07-12,23.1,22.79,23.85,21.92,182278,741635584.0,8.2,-3.14,-0.74,26.04
66,2016-07-13,22.68,22.59,22.95,22.13,128554,513080784.0,3.6,-0.88,-0.2,18.36
67,2016-07-14,22.4,22.59,23.22,22.16,111001,446973136.0,4.69,0.0,0.0,15.86
68,2016-07-15,22.34,22.4,22.98,22.01,106615,425654240.0,4.29,-0.84,-0.19,15.23
69,2016-07-18,21.97,20.91,22.04,20.73,139874,531785904.0,5.85,-6.65,-1.49,19.98
70,2016-07-19,20.83,20.94,21.13,20.39,97679,362548384.0,3.54,0.14,0.03,13.95
71,2016-07-20,20.94,20.94,21.24,20.73,78157,293087984.0,2.44,0.0,0.0,11.17
72,2016-07-21,20.63,22.02,22.74,20.63,159247,617182144.0,10.08,5.16,1.08,22.75
73,2016-07-22,21.75,20.88,21.91,20.77,96259,364877072.0,5.18,-5.18,-1.14,13.75
74,2016-07-25,20.66,21.87,22.45,20.44,127505,492554848.0,9.63,4.74,0.99,18.21
75,2016-07-26,21.81,22.53,22.67,21.7,124627,495809552.0,4.44,3.02,0.66,17.8
76,2016-07-27,22.39,20.94,22.48,20.39,135723,516933632.0,9.28,-7.06,-1.59,19.39
77,2016-07-28,20.85,21.1,21.36,20.68,74735,279889760.0,3.25,0.76,0.16,10.68
78,2016-07-29,20.93,20.5,21.07,20.49,66212,245048825.0,2.75,-2.84,-0.6,9.46
79,2016-08-01,19.85,18.62,19.99,18.42,81178,276603728.0,7.66,-9.17,-1.88,11.6
80,2016-08-02,18.84,19.17,19.27,18.78,58575,199686540.0,2.63,2.95,0.55,8.37
81,2016-08-03,19.0,19.52,19.85,18.91,72825,252901453.0,4.9,1.83,0.35,10.4
82,2016-08-04,19.3,19.49,19.53,19.05,54109,187026845.0,2.46,-0.15,-0.03,7.73
