,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1998-08-12,2.7,2.98,3.09,2.7,382904,416703000.0,24.68,88.61,1.4,65.45
1,1998-08-13,2.92,2.98,3.09,2.87,184538,208487000.0,7.38,0.0,0.0,31.54
2,1998-08-14,2.96,2.96,3.12,2.93,135562,155325000.0,6.38,-0.67,-0.02,23.17
3,1998-08-17,2.93,2.68,2.94,2.68,96297,100434000.0,8.78,-9.46,-0.28,16.46
4,1998-08-18,2.61,2.8,2.87,2.6,78524,82273000.0,10.07,4.48,0.12,13.42
5,1998-08-19,2.83,2.94,2.98,2.77,72074,78430000.0,7.5,5.0,0.14,12.32
6,1998-08-20,2.92,2.95,3.03,2.87,75254,84821000.0,5.44,0.34,0.01,12.86
7,1998-08-21,2.97,2.92,3.0,2.86,63592,70403000.0,4.75,-1.02,-0.03,10.87
8,1998-08-24,2.96,3.13,3.2,2.93,161077,193475000.0,9.25,7.19,0.21,27.53
9,1998-08-25,3.09,3.22,3.24,3.01,87516,103612000.0,7.35,2.88,0.09,14.96
10,1998-08-26,3.19,3.1,3.24,3.09,60332,72282000.0,4.66,-3.73,-0.12,10.31
11,1998-08-27,3.08,3.08,3.15,3.0,46542,54430000.0,4.84,-0.65,-0.02,7.96
12,1998-08-28,3.05,2.98,3.14,2.91,51213,58907000.0,7.47,-3.25,-0.1,8.75
13,1998-08-31,2.93,3.07,3.08,2.85,47387,53377000.0,7.72,3.02,0.09,8.1
14,1998-09-01,3.05,2.97,3.1,2.96,28444,32910000.0,4.56,-3.26,-0.1,4.86
15,1998-09-02,2.94,2.93,3.0,2.93,23683,26540000.0,2.36,-1.35,-0.04,4.05
16,1998-09-03,2.95,2.98,3.05,2.94,17506,19930000.0,3.75,1.71,0.05,2.99
17,1998-09-04,3.03,3.08,3.13,3.0,33513,39337000.0,4.36,3.36,0.1,5.73
18,1998-09-07,3.13,3.12,3.18,3.03,29575,35111000.0,4.87,1.3,0.04,5.06
19,1998-09-08,3.12,3.06,3.15,3.05,29483,34730000.0,3.21,-1.92,-0.06,5.04
20,1998-09-09,3.05,3.28,3.34,3.04,59332,71627000.0,9.8,7.19,0.22,10.14
21,1998-09-10,3.28,3.28,3.35,3.23,88209,110626000.0,3.66,0.0,0.0,15.08
22,1998-09-11,3.3,3.29,3.35,3.22,50315,63284000.0,3.96,0.3,0.01,8.6
23,1998-09-14,3.34,3.33,3.49,3.29,62873,81300000.0,6.08,1.22,0.04,10.75
24,1998-09-15,3.34,3.23,3.36,3.2,45744,57179000.0,4.8,-3.0,-0.1,7.82
25,1998-09-16,3.22,3.32,3.32,3.22,31562,39379000.0,3.1,2.79,0.09,5.4
26,1998-09-17,3.33,3.18,3.34,3.15,48401,59331000.0,5.72,-4.22,-0.14,8.27
27,1998-09-18,3.15,3.13,3.23,3.1,29935,35915000.0,4.09,-1.57,-0.05,5.12
28,1998-09-21,3.1,3.17,3.17,3.08,14568,17367000.0,2.88,1.28,0.04,2.49
29,1998-09-22,3.17,3.11,3.18,3.09,13563,16127000.0,2.84,-1.89,-0.06,2.32
30,1998-09-23,3.11,3.14,3.16,3.1,8883,10562000.0,1.93,0.96,0.03,1.52
31,1998-09-24,3.14,3.0,3.15,2.95,23998,27706000.0,6.37,-4.46,-0.14,4.1
32,1998-09-25,2.98,3.07,3.07,2.97,12789,14614000.0,3.33,2.33,0.07,2.19
33,1998-09-28,3.07,3.0,3.07,2.99,11080,12695000.0,2.61,-2.28,-0.07,1.89
34,1998-09-29,3.02,3.09,3.1,3.02,11095,12977000.0,2.67,3.0,0.09,1.9
35,1998-09-30,3.09,3.08,3.11,3.06,7120,8333000.0,1.62,-0.32,-0.01,1.22
36,1998-10-05,3.11,3.04,3.11,3.02,10057,11665000.0,2.92,-1.3,-0.04,1.72
